RUNID	BATCHSETID	MPL	NUMEXECXACTS	PT	TPS
609	1	100	3030.33	11797735.67	25.25
609	1	200	3031	23235726	25.26
609	1	300	3026	34248278	25.22
609	1	400	3019.33	44784029.33	25.16
609	1	500	3006	55084873.33	25.05
609	1	600	2969	64668409.67	24.74
609	1	700	2970	73825235.33	24.75
609	1	800	2914	82958185.33	24.28
609	1	900	2931.67	90912627.33	24.43
609	1	1000	2929.33	100696795.33	24.41
609	2	100	3031.67	11790988.33	25.26
609	2	200	3048	23271433.33	25.4
609	2	300	3012	34195142	25.1
609	2	400	3039.33	44952025.33	25.33
609	2	500	2946.67	54823376	24.56
609	2	600	3012.33	65424715.33	25.1
609	2	700	2944	74108105	24.53
609	2	800	2898	82812072.33	24.15
609	2	900	2879.33	91483828.33	23.99
609	2	1000	2914.33	100558086.67	24.29
609	21	100	3078.33	11808179.33	25.65
609	21	200	2993.33	23155766.33	24.94
609	21	300	3003.67	34237698.33	25.03
609	21	400	2972	44783497.67	24.77
609	21	500	2928	54782667.33	24.4
609	21	600	2905.67	64445086.67	24.21
609	21	700	2888	74116722.67	24.07
609	21	800	2948	83358510.67	24.57
609	21	900	2833.67	90053673	23.61
609	21	1000	2927.33	101063030.67	24.39
609	22	100	3103	11812189.67	25.86
609	22	200	3019.67	23205278	25.16
609	22	300	2970	34168137	24.75
609	22	400	2919.67	44810937	24.33
609	22	500	2946.67	55229101	24.56
609	22	600	2867	64220989	23.89
609	22	700	2875.67	73803314	23.96
609	22	800	2852.67	82732337	23.77
609	22	900	2826.67	90908454	23.56
609	22	1000	2842	99703674.33	23.68
609	41	100	3014.33	11810474.33	25.12
609	41	200	2997	23184119.33	24.98
609	41	300	3038	34267287.33	25.32
609	41	400	3046.33	44947904.33	25.39
609	41	500	3011.33	55123770	25.09
609	41	600	3007.33	65121496.33	25.06
609	41	700	2909.67	74124336.33	24.25
609	41	800	2960.67	83323283.33	24.67
609	41	900	2883.67	90423852.67	24.03
609	41	1000	2935.67	100334487.67	24.46
609	42	100	3095	11807691.67	25.79
609	42	200	3042.33	23178017.33	25.35
609	42	300	2988.33	34173740.67	24.9
609	42	400	3002.67	44861202.33	25.02
609	42	500	2997.67	55260547.67	24.98
609	42	600	2964.67	64994973.67	24.71
609	42	700	2920.67	73494108	24.34
609	42	800	2934.67	83207306	24.46
609	42	900	2870	91322430.67	23.92
609	42	1000	2861.33	99946570.33	23.84
609	61	100	3051	11801899.67	25.43
609	61	200	3027.67	23152254.33	25.23
609	61	300	2992.33	34222925.33	24.94
609	61	400	2954.67	44954913	24.62
609	61	500	2932.33	54780376.67	24.44
609	61	600	2967.67	65299655	24.73
609	61	700	2917.33	74032596.67	24.31
609	61	800	2916.67	83034862.33	24.31
609	61	900	2867	90308393.33	23.89
609	61	1000	2878.67	100596170	23.99
609	62	100	3092.67	11814222.33	25.77
609	62	200	2978.67	23192746	24.82
609	62	300	2944	34120694.33	24.53
609	62	400	2935.33	44886429	24.46
609	62	500	2928.33	54802013.67	24.4
609	62	600	2861.67	64354300.67	23.85
609	62	700	2888	74101120	24.07
609	62	800	2753	81789954.67	22.94
609	62	900	2804	90076846.33	23.37
609	62	1000	2834	100006298.67	23.62
609	81	100	3056	11812575	25.47
609	81	200	3050	23196616.33	25.42
609	81	300	3039.67	34278854.33	25.33
609	81	400	3040	44920704.67	25.33
609	81	500	3012.67	55054769.67	25.11
609	81	600	2993.67	64791870.33	24.95
609	81	700	2958	74337501	24.65
609	81	800	2956.33	83442045	24.64
609	81	900	2919	90713652.33	24.33
609	81	1000	2950.33	100917603.67	24.59
609	101	100	3088.67	11788452.67	25.74
609	101	200	3039	23242713.33	25.33
609	101	300	3004.33	34236458	25.04
609	101	400	3003	44880823	25.03
609	101	500	3016	55412666.67	25.13
609	101	600	2944.33	64524348.33	24.54
609	101	700	2961.33	73689444	24.68
609	101	800	2963.67	83465125.33	24.7
609	101	900	2890.67	90477698	24.09
609	101	1000	2907.33	100595429	24.23
609	121	100	3059	11809919	25.49
609	121	200	3037.33	23233144.33	25.31
609	121	300	2987.67	34208277	24.9
609	121	400	2947	44708245	24.56
609	121	500	2945.67	55219378.33	24.55
609	121	600	2866.67	64203678.67	23.89
609	121	700	2902	73803294	24.18
609	121	800	2844.33	82537135.67	23.7
