DBMS	EXPERIMENTNAME	RUNID	BATCHSETID	PK	NUMPROCESSORS	ACTROWPOOL	PCTREAD	PCTUPDATE	ATP	MAXMPL
db2	pk-xt-1M-1000-120-1	2309	7207	1	1	.25	0	25	170.903	1100
db2	pk-xt-1M-1000-120-1	2309	7246	1	1	.5	0	25	150.378	1100
db2	pk-xt-1M-1000-120-1	2309	7286	1	1	.75	0	25	149.742	1100
db2	pk-xt-1M-1000-120-1	2309	7306	1	1	1	0	25	157.085	1100
db2	pk-xt-1M-1000-120-1	2309	7327	1	1	.25	0	50	144.093	1100
db2	pk-xt-1M-1000-120-1	2309	7366	1	1	.5	0	50	145.269	1100
db2	pk-xt-1M-1000-120-1	2309	7406	1	1	.75	0	50	147.484	1100
db2	pk-xt-1M-1000-120-1	2309	7427	1	1	1	0	50	147.795	1100
db2	pk-xt-1M-1000-120-1	2309	7467	1	1	.25	0	75	143.369	1100
db2	pk-xt-1M-1000-120-1	2309	7506	1	1	.5	0	75	145.274	1100
db2	pk-xt-1M-1000-120-1	2309	7546	1	1	.75	0	75	147.895	1100
db2	pk-xt-1M-1000-120-1	2309	7587	1	1	1	0	75	150.523	1100
db2	pk-xt-1M-1000-120-1	2309	7627	1	1	.25	0	100	142.52	1100
db2	pk-xt-1M-1000-120-1	2309	7666	1	1	.5	0	100	145.087	1100
db2	pk-xt-1M-1000-120-1	2309	7686	1	1	.75	0	100	147.462	1100
db2	pk-xt-1M-1000-120-1	2309	7706	1	1	1	0	100	149.59	1100
db2	pk-xt-1M-1000-120-1	2309	7726	1	1	.25	.01	0	31609.234	1100
db2	pk-xt-1M-1000-120-1	2309	7747	1	1	.5	.01	0	34508.076	1100
db2	pk-xt-1M-1000-120-1	2309	7786	1	1	1	.01	0	33309.662	1100
db2	pk-xt-1M-1000-120-1	2309	8126	1	1	.25	.1	0	6424.278	1100
db2	pk-xt-1M-1000-120-1	2309	8166	1	1	.75	.1	0	272.523	800
db2	pk-xt-1M-1000-120-1	2309	8186	1	1	1	.1	0	27009.154	800
db2	pk-xt-1M-1000-120-1	2309	8526	1	1	.25	1	0	5249.929	200
db2	pk-xt-1M-1000-120-1	2309	8547	1	1	.5	1	0	13729.003	800
db2	pk-xt-1M-1000-120-1	2309	8567	1	1	.75	1	0	328.286	800
db2	pk-xt-1M-1000-120-1	2309	8586	1	1	1	1	0	6474.761	1100
db2	pk-xt-1M-1000-120-2	2069	9266	1	2	.25	0	25	124.951	1100
db2	pk-xt-1M-1000-120-2	2069	9305	1	2	.5	0	25	107.663	1100
db2	pk-xt-1M-1000-120-2	2069	9306	1	2	.75	0	25	123.548	1100
db2	pk-xt-1M-1000-120-2	2069	9308	1	2	1	0	25	134.318	1100
db2	pk-xt-1M-1000-120-2	2069	9310	1	2	.25	0	50	109.681	1100
db2	pk-xt-1M-1000-120-2	2069	9312	1	2	.5	0	50	108.878	1100
db2	pk-xt-1M-1000-120-2	2069	9313	1	2	.75	0	50	175.563	800
db2	pk-xt-1M-1000-120-2	2069	9315	1	2	1	0	50	123.017	1100
db2	pk-xt-1M-1000-120-2	2069	9317	1	2	.25	0	75	100.138	1100
db2	pk-xt-1M-1000-120-2	2069	9319	1	2	.5	0	75	106.724	1100
db2	pk-xt-1M-1000-120-2	2069	9321	1	2	.75	0	75	106.564	1100
db2	pk-xt-1M-1000-120-2	2069	9323	1	2	1	0	75	108.853	1100
db2	pk-xt-1M-1000-120-2	2069	9329	1	2	.25	0	100	96.863	1100
db2	pk-xt-1M-1000-120-2	2069	9334	1	2	.5	0	100	104.341	1100
db2	pk-xt-1M-1000-120-2	2069	9337	1	2	.75	0	100	108.178	1100
db2	pk-xt-1M-1000-120-2	2069	9340	1	2	1	0	100	108.182	1100
db2	pk-xt-1M-1000-120-2	2069	9341	1	2	.25	.01	0	131934.41	1100
db2	pk-xt-1M-1000-120-2	2069	9434	1	2	.5	.01	0	124584.771	1100
db2	pk-xt-1M-1000-120-2	2069	9436	1	2	.75	.01	0	128129.075	1100
db2	pk-xt-1M-1000-120-2	2069	9439	1	2	1	.01	0	135472.248	1100
db2	pk-xt-1M-1000-120-2	2069	9441	1	2	.25	.1	0	3922.255	1100
db2	pk-xt-1M-1000-120-2	2069	9443	1	2	.5	.1	0	7749.428	200
db2	pk-xt-1M-1000-120-2	2069	9445	1	2	.75	.1	0	10585.021	200
db2	pk-xt-1M-1000-120-2	2069	9447	1	2	1	.1	0	9422.096	1100
db2	pk-xt-1M-1000-120-2	2069	9448	1	2	.25	1	0	3555.683	800
db2	pk-xt-1M-1000-120-2	2069	9450	1	2	.5	1	0	6820.321	200
db2	pk-xt-1M-1000-120-2	2069	9452	1	2	.75	1	0	89.538	1100
db2	pk-xt-1M-1000-120-2	2069	9454	1	2	1	1	0	199.957	1100
db2	pk-xt-1M-1000-120-4	2229	8686	1	4	.25	0	25	51.443	1100
db2	pk-xt-1M-1000-120-4	2229	8766	1	4	.5	0	25	48.499	1100
db2	pk-xt-1M-1000-120-4	2229	8806	1	4	.75	0	25	48.039	1100
db2	pk-xt-1M-1000-120-4	2229	9413	1	4	1	0	25	47.383	1100
db2	pk-xt-1M-1000-120-4	2229	9415	1	4	.25	0	50	48.503	1100
db2	pk-xt-1M-1000-120-4	2229	9417	1	4	.5	0	50	50.437	1100
db2	pk-xt-1M-1000-120-4	2229	9418	1	4	.75	0	50	52.495	1100
db2	pk-xt-1M-1000-120-4	2229	9420	1	4	1	0	50	55.42	1100
db2	pk-xt-1M-1000-120-4	2229	9422	1	4	.25	0	75	49.516	1100
db2	pk-xt-1M-1000-120-4	2229	9424	1	4	.5	0	75	49.351	1100
db2	pk-xt-1M-1000-120-4	2229	9426	1	4	.75	0	75	52.066	1100
db2	pk-xt-1M-1000-120-4	2229	9427	1	4	1	0	75	50.85	1100
db2	pk-xt-1M-1000-120-4	2229	9429	1	4	.25	0	100	49.143	1100
db2	pk-xt-1M-1000-120-4	2229	9431	1	4	.5	0	100	49.547	1100
db2	pk-xt-1M-1000-120-4	2229	9433	1	4	.75	0	100	51.002	1100
db2	pk-xt-1M-1000-120-4	2229	9435	1	4	1	0	100	53.167	1100
db2	pk-xt-1M-1000-120-4	2229	9438	1	4	.25	.01	0	106521.004	1100
db2	pk-xt-1M-1000-120-4	2229	9440	1	4	.5	.01	0	98027.797	1100
db2	pk-xt-1M-1000-120-4	2229	9442	1	4	.75	.01	0	107471.101	1100
db2	pk-xt-1M-1000-120-4	2229	9446	1	4	.25	.1	0	62.606	1100
db2	pk-xt-1M-1000-120-4	2229	9449	1	4	.5	.1	0	65.833	1100
db2	pk-xt-1M-1000-120-4	2229	9451	1	4	.75	.1	0	463.323	1100
db2	pk-xt-1M-1000-120-4	2229	9453	1	4	1	.1	0	137.531	500
db2	pk-xt-1M-1000-120-4	2229	9455	1	4	.25	1	0	97.632	600
db2	pk-xt-1M-1000-120-4	2229	9457	1	4	.75	1	0	787.076	1100
db2	pk-xt-1M-1000-120-4	2229	9458	1	4	1	1	0	104.881	400
db2	pk-xt-1M-1000-120-6	3009	9546	1	6	.25	0	25	17827.066	200
db2	pk-xt-1M-1000-120-6	3009	9566	1	6	.5	0	25	121344.732	1100
db2	pk-xt-1M-1000-120-6	3009	9568	1	6	.75	0	25	123287.311	1100
db2	pk-xt-1M-1000-120-6	3009	9570	1	6	1	0	25	127231.459	1100
db2	pk-xt-1M-1000-120-6	3009	9572	1	6	.25	0	50	120077.152	1100
db2	pk-xt-1M-1000-120-6	3009	9574	1	6	.5	0	50	123.255	1100
db2	pk-xt-1M-1000-120-6	3009	9587	1	6	.75	0	50	6.128	1100
db2	pk-xt-1M-1000-120-6	3009	9589	1	6	1	0	50	6.074	1100
db2	pk-xt-1M-1000-120-6	3009	9591	1	6	.25	0	75	6.078	1100
db2	pk-xt-1M-1000-120-6	3009	9593	1	6	.5	0	75	6.044	1100
db2	pk-xt-1M-1000-120-6	3009	9595	1	6	.75	0	75	6.04	1100
db2	pk-xt-1M-1000-120-6	3009	9597	1	6	1	0	75	6.09	1100
db2	pk-xt-1M-1000-120-6	3009	9607	1	6	.25	0	100	6.027	1100
db2	pk-xt-1M-1000-120-6	3009	9609	1	6	.5	0	100	6.044	1100
db2	pk-xt-1M-1000-120-6	3009	9611	1	6	.75	0	100	401286.921	100
db2	pk-xt-1M-1000-120-6	3009	9614	1	6	1	0	100	131471.353	1100
db2	pk-xt-1M-1000-120-6	3009	9626	1	6	.25	.01	0	112303.532	1100
db2	pk-xt-1M-1000-120-6	3009	9628	1	6	.5	.01	0	108554.162	1100
db2	pk-xt-1M-1000-120-6	3009	9630	1	6	.75	.01	0	106928.124	1100
db2	pk-xt-1M-1000-120-6	3009	9632	1	6	1	.01	0	113428.75	1100
db2	pk-xt-1M-1000-120-6	3009	9647	1	6	.25	.1	0	1210.231	800
db2	pk-xt-1M-1000-120-6	3009	9649	1	6	.5	.1	0	3886.938	600
db2	pk-xt-1M-1000-120-6	3009	9651	1	6	.75	.1	0	7157.039	100
db2	pk-xt-1M-1000-120-6	3009	9653	1	6	1	.1	0	15619.185	1100
db2	pk-xt-1M-1000-120-6	3009	9666	1	6	.25	1	0	1675.434	400
db2	pk-xt-1M-1000-120-6	3009	9668	1	6	.5	1	0	69.956	1100
db2	pk-xt-1M-1000-120-6	3009	9670	1	6	.75	1	0	80.637	1100
db2	pk-xt-1M-1000-120-6	3009	9672	1	6	1	1	0	2710.771	100
db2	pk-xt-1M-1000-120-8	2289	9295	1	8	.25	0	25	66.381	1100
db2	pk-xt-1M-1000-120-8	2289	9304	1	8	.5	0	25	50.918	1100
db2	pk-xt-1M-1000-120-8	2289	9307	1	8	.75	0	25	51.069	1100
db2	pk-xt-1M-1000-120-8	2289	9309	1	8	1	0	25	52.584	1100
db2	pk-xt-1M-1000-120-8	2289	9311	1	8	.25	0	50	51.205	1100
db2	pk-xt-1M-1000-120-8	2289	9314	1	8	.5	0	50	51.985	1100
db2	pk-xt-1M-1000-120-8	2289	9316	1	8	.75	0	50	52.849	1100
db2	pk-xt-1M-1000-120-8	2289	9318	1	8	1	0	50	52.391	1100
db2	pk-xt-1M-1000-120-8	2289	9320	1	8	.25	0	75	49.549	1100
db2	pk-xt-1M-1000-120-8	2289	9322	1	8	.5	0	75	50.918	1100
db2	pk-xt-1M-1000-120-8	2289	9328	1	8	.75	0	75	51.571	1100
db2	pk-xt-1M-1000-120-8	2289	9336	1	8	1	0	75	51.682	1100
db2	pk-xt-1M-1000-120-8	2289	9339	1	8	.25	0	100	49.272	1100
db2	pk-xt-1M-1000-120-8	2289	9348	1	8	.5	0	100	51.011	1100
db2	pk-xt-1M-1000-120-8	2289	9353	1	8	.75	0	100	51.316	1100
db2	pk-xt-1M-1000-120-8	2289	9355	1	8	1	0	100	52.17	1100
db2	pk-xt-1M-1000-120-8	2289	9409	1	8	.25	.01	0	22098.946	1100
db2	pk-xt-1M-1000-120-8	2289	9412	1	8	.5	.01	0	331.958	1100
db2	pk-xt-1M-1000-120-8	2289	9414	1	8	.75	.01	0	5.797	1100
db2	pk-xt-1M-1000-120-8	2289	9416	1	8	1	.01	0	5.627	1100
db2	pk-xt-1M-1000-120-8	2289	9419	1	8	.25	.1	0	5.519	1100
db2	pk-xt-1M-1000-120-8	2289	9421	1	8	.5	.1	0	5.627	1100
db2	pk-xt-1M-1000-120-8	2289	9423	1	8	.75	.1	0	5.459	1100
db2	pk-xt-1M-1000-120-8	2289	9425	1	8	1	.1	0	5.51	1100
db2	pk-xt-1M-1000-120-8	2289	9428	1	8	.25	1	0	5.554	1100
db2	pk-xt-1M-1000-120-8	2289	9430	1	8	.5	1	0	5.601	1100
db2	pk-xt-1M-1000-120-8	2289	9432	1	8	.75	1	0	5.807	1100
db2	pk-xt-1M-1000-120-8	2289	9437	1	8	1	1	0	5.717	1100
db2	xt-1M-1000-120-1	2389	1602	0	1	.25	0	25	151.449	1100
db2	xt-1M-1000-120-1	2389	1623	0	1	.5	0	25	166.807	1100
db2	xt-1M-1000-120-1	2389	1661	0	1	.75	0	25	167.626	1100
db2	xt-1M-1000-120-1	2389	1683	0	1	1	0	25	162.141	1100
db2	xt-1M-1000-120-1	2389	1723	0	1	.25	0	50	157.714	1100
db2	xt-1M-1000-120-1	2389	1763	0	1	.5	0	50	154.699	1100
db2	xt-1M-1000-120-1	2389	1801	0	1	.75	0	50	158.682	1100
db2	xt-1M-1000-120-1	2389	1842	0	1	1	0	50	160.043	1100
db2	xt-1M-1000-120-1	2389	1882	0	1	.25	0	75	150.673	1100
db2	xt-1M-1000-120-1	2389	1902	0	1	.5	0	75	152.681	1100
db2	xt-1M-1000-120-1	2389	1923	0	1	.75	0	75	154.111	1100
db2	xt-1M-1000-120-1	2389	1943	0	1	1	0	75	156.162	1100
db2	xt-1M-1000-120-1	2389	1983	0	1	.25	0	100	148.103	1100
db2	xt-1M-1000-120-1	2389	2022	0	1	.5	0	100	152.333	1100
db2	xt-1M-1000-120-1	2389	2043	0	1	.75	0	100	152.465	1100
db2	xt-1M-1000-120-1	2389	2083	0	1	1	0	100	154.712	1100
db2	xt-1M-1000-120-1	2389	2123	0	1	.25	.01	0	45064.788	1100
db2	xt-1M-1000-120-1	2389	2142	0	1	.5	.01	0	50047.204	1100
db2	xt-1M-1000-120-1	2389	2144	0	1	.75	.01	0	85655.182	1100
db2	xt-1M-1000-120-1	2389	2147	0	1	1	.01	0	108833.593	1100
db2	xt-1M-1000-120-1	2389	2503	0	1	.25	.1	0	8135.396	500
db2	xt-1M-1000-120-1	2389	2522	0	1	.5	.1	0	13654.583	500
db2	xt-1M-1000-120-1	2389	2561	0	1	1	.1	0	5741.381	800
db2	xt-1M-1000-120-1	2389	4105	0	1	.25	1	0	5241.631	500
db2	xt-1M-1000-120-1	2389	4124	0	1	.5	1	0	10757.81	100
db2	xt-1M-1000-120-1	2389	4125	0	1	.75	1	0	15741.42	400
db2	xt-1M-1000-120-1	2389	4144	0	1	1	1	0	15097.201	1100
db2	xt-1M-1000-120-2	2249	401	0	2	.25	0	25	109.997	1100
db2	xt-1M-1000-120-2	2249	422	0	2	.5	0	25	126.759	1100
db2	xt-1M-1000-120-2	2249	462	0	2	.75	0	25	130.944	1100
db2	xt-1M-1000-120-2	2249	482	0	2	1	0	25	126.915	1100
db2	xt-1M-1000-120-2	2249	521	0	2	.25	0	50	105.742	1100
db2	xt-1M-1000-120-2	2249	542	0	2	.5	0	50	113.553	1100
db2	xt-1M-1000-120-2	2249	582	0	2	.75	0	50	113.562	1100
db2	xt-1M-1000-120-2	2249	601	0	2	1	0	50	119.719	1100
db2	xt-1M-1000-120-2	2249	641	0	2	.25	0	75	106.689	1100
db2	xt-1M-1000-120-2	2249	662	0	2	.5	0	75	107.985	1100
db2	xt-1M-1000-120-2	2249	702	0	2	.75	0	75	108.594	1100
db2	xt-1M-1000-120-2	2249	741	0	2	1	0	75	116.528	1100
db2	xt-1M-1000-120-2	2249	762	0	2	.25	0	100	102.858	1100
db2	xt-1M-1000-120-2	2249	802	0	2	.5	0	100	107.297	1100
db2	xt-1M-1000-120-2	2249	841	0	2	.75	0	100	109.012	1100
db2	xt-1M-1000-120-2	2249	862	0	2	1	0	100	107.397	1100
db2	xt-1M-1000-120-2	2249	902	0	2	.25	.01	0	130005.228	1100
db2	xt-1M-1000-120-2	2249	941	0	2	.5	.01	0	122222.468	1100
db2	xt-1M-1000-120-2	2249	962	0	2	.75	.01	0	123204.156	1100
db2	xt-1M-1000-120-2	2249	1001	0	2	1	.01	0	129912.706	1100
db2	xt-1M-1000-120-2	2249	1441	0	2	.25	.1	0	6532.89	1100
db2	xt-1M-1000-120-2	2249	1461	0	2	.5	.1	0	10032.328	800
db2	xt-1M-1000-120-2	2249	1482	0	2	.75	.1	0	8735.297	1100
db2	xt-1M-1000-120-2	2249	1501	0	2	1	.1	0	9738.024	1100
db2	xt-1M-1000-120-2	2249	1821	0	2	.25	1	0	3186.5	600
db2	xt-1M-1000-120-2	2249	1841	0	2	.5	1	0	667.224	200
db2	xt-1M-1000-120-2	2249	1881	0	2	1	1	0	1901.376	400
db2	xt-1M-1000-120-4	2349	2203	0	4	.25	0	25	50.283	1100
db2	xt-1M-1000-120-4	2349	2222	0	4	.5	0	25	53.857	700
db2	xt-1M-1000-120-4	2349	2224	0	4	.75	0	25	60.067	1100
db2	xt-1M-1000-120-4	2349	2225	0	4	1	0	25	57.165	1100
db2	xt-1M-1000-120-4	2349	2228	0	4	.25	0	50	52.335	1100
db2	xt-1M-1000-120-4	2349	2242	0	4	.5	0	50	52.659	1100
db2	xt-1M-1000-120-4	2349	2261	0	4	.75	0	50	54.769	1100
db2	xt-1M-1000-120-4	2349	2263	0	4	1	0	50	54.994	1100
db2	xt-1M-1000-120-4	2349	2283	0	4	.25	0	75	51.617	1100
db2	xt-1M-1000-120-4	2349	2301	0	4	.5	0	75	49.553	1100
db2	xt-1M-1000-120-4	2349	2304	0	4	.75	0	75	52.188	1100
db2	xt-1M-1000-120-4	2349	2322	0	4	1	0	75	59.035	1100
db2	xt-1M-1000-120-4	2349	2323	0	4	.25	0	100	52.592	1100
db2	xt-1M-1000-120-4	2349	2326	0	4	.5	0	100	50.705	1100
db2	xt-1M-1000-120-4	2349	2342	0	4	.75	0	100	53.526	1100
db2	xt-1M-1000-120-4	2349	2344	0	4	1	0	100	53.903	1100
db2	xt-1M-1000-120-4	2349	2362	0	4	.25	.01	0	97.533	1100
db2	xt-1M-1000-120-4	2349	2387	0	4	1	.01	0	32902.69	400
db2	xt-1M-1000-120-4	2349	3003	0	4	.25	.1	0	1702.256	400
db2	xt-1M-1000-120-4	2349	3004	0	4	.5	.1	0	3557.399	1100
db2	xt-1M-1000-120-6	3089	9771	0	6	.25	0	25	47993.777	1100
db2	xt-1M-1000-120-6	3089	9772	0	6	.5	0	25	43069.004	1100
db2	xt-1M-1000-120-6	3089	9773	0	6	.75	0	25	37989.842	800
db2	xt-1M-1000-120-6	3089	9774	0	6	1	0	25	227.135	1100
db2	xt-1M-1000-120-6	3089	9775	0	6	.25	0	50	5.715	1100
db2	xt-1M-1000-120-6	3089	9786	0	6	.5	0	50	5.705	1100
db2	xt-1M-1000-120-6	3089	9787	0	6	.75	0	50	5.682	1100
db2	xt-1M-1000-120-6	3089	9788	0	6	1	0	50	5.704	1100
db2	xt-1M-1000-120-6	3089	9789	0	6	.25	0	75	5.668	1100
db2	xt-1M-1000-120-6	3089	9790	0	6	.5	0	75	5.594	1100
db2	xt-1M-1000-120-6	3089	9791	0	6	.75	0	75	5.716	1100
db2	xt-1M-1000-120-6	3089	9792	0	6	1	0	75	5.642	1100
db2	xt-1M-1000-120-6	3089	9806	0	6	.25	0	100	5.647	1100
db2	xt-1M-1000-120-6	3089	9807	0	6	.5	0	100	5.628	1100
db2	xt-1M-1000-120-6	3089	9808	0	6	.75	0	100	5.641	1100
db2	xt-1M-1000-120-6	3089	9809	0	6	1	0	100	62054.686	1100
db2	xt-1M-1000-120-6	3089	9810	0	6	.25	.01	0	6300.377	700
db2	xt-1M-1000-120-6	3089	9811	0	6	.5	.01	0	118694.629	1100
