DBMS	EXPERIMENTNAME	RUNID	BATCHSETID	PK	NUMPROCESSORS	ACTROWPOOL	PCTREAD	PCTUPDATE	SRTTXNRATE	ATP	MAXMPL
db2	pk-xt-1M-1000-100-120-1	3373	9914	1	1	1	0	.01	.25	110.054	1100
db2	pk-xt-1M-1000-100-120-1	3373	9916	1	1	1	0	.01	.5	41557.023	1100
db2	pk-xt-1M-1000-100-120-1	3373	9918	1	1	1	0	.01	.75	34594.063	1100
db2	pk-xt-1M-1000-100-120-1	3373	9920	1	1	1	0	.01	1	62.947	1100
db2	pk-xt-1M-1000-100-120-1	3373	9947	1	1	1	0	1	.25	115743.851	1100
db2	pk-xt-1M-1000-100-120-1	3373	9949	1	1	1	0	1	.5	114676.426	1100
db2	pk-xt-1M-1000-100-120-1	3373	9951	1	1	1	0	1	.75	114251.913	1100
db2	pk-xt-1M-1000-100-120-1	3373	9953	1	1	1	0	1	1	98221.316	1100
db2	pk-xt-1M-1000-100-120-1	3373	9955	1	1	1	.01	0	.25	112467.689	1100
db2	pk-xt-1M-1000-100-120-1	3373	9957	1	1	1	.01	0	.5	114993.762	1100
db2	pk-xt-1M-1000-100-120-1	3373	9959	1	1	1	.01	0	.75	115480.835	1100
db2	pk-xt-1M-1000-100-120-1	3373	9961	1	1	1	.01	0	1	112226.282	1100
db2	pk-xt-1M-1000-100-120-1	3373	9963	1	1	1	1	0	.25	10287.106	400
db2	pk-xt-1M-1000-100-120-1	3373	9965	1	1	1	1	0	.5	12644.531	300
db2	pk-xt-1M-1000-100-120-1	3373	9967	1	1	1	1	0	.75	32593.575	600
db2	pk-xt-1M-1000-100-120-1	3373	9969	1	1	1	1	0	1	115117.131	800
db2	xt-1M-1000-100-120-1	3391	9890	0	1	1	0	.01	.25	621.423	1100
db2	xt-1M-1000-100-120-1	3391	9908	0	1	1	0	.01	.5	26.286	1100
db2	xt-1M-1000-100-120-1	3391	9910	0	1	1	0	.01	.75	26.34	1100
db2	xt-1M-1000-100-120-1	3391	9912	0	1	1	0	.01	1	25.336	1100
db2	xt-1M-1000-100-120-1	3391	9922	0	1	1	0	1	.25	25.784	1100
db2	xt-1M-1000-100-120-1	3391	9924	0	1	1	0	1	.5	24.751	1100
db2	xt-1M-1000-100-120-1	3391	9926	0	1	1	0	1	.75	25.734	1100
db2	xt-1M-1000-100-120-1	3391	9928	0	1	1	0	1	1	25.278	1100
db2	xt-1M-1000-100-120-1	3391	9930	0	1	1	.01	0	.25	25.089	1100
db2	xt-1M-1000-100-120-1	3391	9932	0	1	1	.01	0	.5	25.106	1100
db2	xt-1M-1000-100-120-1	3391	9935	0	1	1	.01	0	.75	25.7	1100
db2	xt-1M-1000-100-120-1	3391	9937	0	1	1	.01	0	1	25.515	1100
db2	xt-1M-1000-100-120-1	3391	9939	0	1	1	1	0	.25	25.597	1100
db2	xt-1M-1000-100-120-1	3391	9941	0	1	1	1	0	.5	25.612	1100
db2	xt-1M-1000-100-120-1	3391	9943	0	1	1	1	0	.75	25.692	1100
db2	xt-1M-1000-100-120-1	3391	9945	0	1	1	1	0	1	25.031	1100
mysql	pk-xt-1M-1000-100-120-1	3393	9914	1	1	1	0	.01	.25	875.87	1100
mysql	pk-xt-1M-1000-100-120-1	3393	9916	1	1	1	0	.01	.5	667.419	1100
mysql	pk-xt-1M-1000-100-120-1	3393	9918	1	1	1	0	.01	.75	500.42	1100
mysql	pk-xt-1M-1000-100-120-1	3393	9920	1	1	1	0	.01	1	298.853	1100
mysql	pk-xt-1M-1000-100-120-1	3393	9947	1	1	1	0	1	.25	8738.717	700
mysql	pk-xt-1M-1000-100-120-1	3393	9949	1	1	1	0	1	.5	7287.538	100
mysql	pk-xt-1M-1000-100-120-1	3393	9951	1	1	1	0	1	.75	3843.279	100
mysql	pk-xt-1M-1000-100-120-1	3393	9953	1	1	1	0	1	1	297.854	1100
mysql	pk-xt-1M-1000-100-120-1	3393	9955	1	1	1	.01	0	.25	162.868	1100
mysql	pk-xt-1M-1000-100-120-1	3393	9957	1	1	1	.01	0	.5	147.475	1100
mysql	pk-xt-1M-1000-100-120-1	3393	9959	1	1	1	.01	0	.75	134.115	1100
mysql	pk-xt-1M-1000-100-120-1	3393	9961	1	1	1	.01	0	1	115.991	1100
mysql	pk-xt-1M-1000-100-120-1	3393	9967	1	1	1	1	0	.75	233.711	300
mysql	pk-xt-1M-1000-100-120-1	3393	9969	1	1	1	1	0	1	114.372	1100
