DBMS	EXPERIMENTNAME	RUNID	BATCHSETID	PK	NUMPROCESSORS	ACTROWPOOL	PCTREAD	PCTUPDATE	SRTTXNRATE	ATP	MAXMPL
db2	pk-xt-1M-1000-50-120-1	3507	9986	1	1	1	0	.25	0	41.576	1100
db2	pk-xt-1M-1000-50-120-1	3507	10006	1	1	1	0	.5	0	112013.496	1100
db2	pk-xt-1M-1000-50-120-1	3507	10008	1	1	1	0	.75	0	113125.014	800
db2	pk-xt-1M-1000-50-120-1	3507	10010	1	1	1	0	1	0	113867.893	1100
db2	pk-xt-1M-1000-50-120-1	3507	10044	1	1	1	.01	0	0	112659.089	1100
db2	pk-xt-1M-1000-50-120-1	3507	10045	1	1	1	.1	0	0	13972.356	500
db2	pk-xt-1M-1000-50-120-1	3507	10046	1	1	1	1	0	0	17538.487	800
db2	pk-xt-1M-1000-50-120-8	3591	10014	1	8	1	0	.25	0	39.755	100
db2	pk-xt-1M-1000-50-120-8	3591	10066	1	8	1	0	.5	0	28786.018	600
db2	pk-xt-1M-1000-50-120-8	3591	10067	1	8	1	0	.75	0	102057.919	800
db2	pk-xt-1M-1000-50-120-8	3591	10068	1	8	1	0	1	0	111748.066	1100
db2	pk-xt-1M-1000-50-120-8	3591	10069	1	8	1	.01	0	0	116794.057	1100
db2	pk-xt-1M-1000-50-120-8	3591	10070	1	8	1	.1	0	0	103.502	1100
db2	pk-xt-1M-1000-50-120-8	3591	10071	1	8	1	1	0	0	26.359	1100
db2	pk-xt-1M-25-50-120-1	3749	10150	1	1	.25	0	.25	0	118.976	100
db2	pk-xt-1M-25-50-120-1	3749	10153	1	1	.25	0	.5	0	58862.747	1100
db2	pk-xt-1M-25-50-120-1	3749	10156	1	1	.25	0	.75	0	568.599	1100
db2	pk-xt-1M-25-50-120-1	3749	10159	1	1	.25	0	1	0	24.339	1100
db2	pk-xt-1M-25-50-120-1	3749	10162	1	1	.25	.01	0	0	23.972	1100
db2	pk-xt-1M-25-50-120-1	3749	10165	1	1	.25	.1	0	0	24.498	1100
db2	pk-xt-1M-25-50-120-1	3749	10168	1	1	.25	1	0	0	23.154	1100
db2	pk-xt-1M-25-50-120-8	3689	10147	1	8	.25	0	.25	0	11.23	1100
db2	pk-xt-1M-25-50-120-8	3689	10149	1	8	.25	0	.5	0	109415.493	1100
db2	pk-xt-1M-25-50-120-8	3689	10152	1	8	.25	0	.75	0	109132.681	1100
db2	pk-xt-1M-25-50-120-8	3689	10155	1	8	.25	0	1	0	111766.256	1100
db2	pk-xt-1M-25-50-120-8	3689	10158	1	8	.25	.01	0	0	26.519	1100
db2	pk-xt-1M-25-50-120-8	3689	10161	1	8	.25	.1	0	0	7548.407	200
db2	pk-xt-1M-25-50-120-8	3689	10164	1	8	.25	1	0	0	1964.11	100
db2	xt-1M-1000-50-120-1	3530	10012	0	1	1	0	.25	0	271.936	1100
