DBMS	EXPERIMENTNAME	RUNID	BATCHSETID	PK	NUMPROCESSORS	ACTROWPOOL	PCTREAD	PCTUPDATE	ATP	MAXMPL
db2	pk-xt-1M-1000-120-1	2309	7207	1	1	.25	0	25	175.171	1100
db2	pk-xt-1M-1000-120-1	2309	7246	1	1	.5	0	25	150.375	1100
db2	pk-xt-1M-1000-120-1	2309	7286	1	1	.75	0	25	149.788	1100
db2	pk-xt-1M-1000-120-1	2309	7306	1	1	1	0	25	157.54	1100
db2	pk-xt-1M-1000-120-1	2309	7327	1	1	.25	0	50	144.209	1100
db2	pk-xt-1M-1000-120-1	2309	7366	1	1	.5	0	50	145.904	1100
db2	pk-xt-1M-1000-120-1	2309	7406	1	1	.75	0	50	147.969	1100
db2	pk-xt-1M-1000-120-1	2309	7427	1	1	1	0	50	149.902	1100
db2	pk-xt-1M-1000-120-1	2309	7467	1	1	.25	0	75	143.113	1100
db2	pk-xt-1M-1000-120-1	2309	7506	1	1	.5	0	75	145.046	1100
db2	pk-xt-1M-1000-120-1	2309	7546	1	1	.75	0	75	147.234	1100
db2	pk-xt-1M-1000-120-1	2309	7587	1	1	1	0	75	151.411	1100
db2	pk-xt-1M-1000-120-1	2309	7627	1	1	.25	0	100	142.467	1100
db2	pk-xt-1M-1000-120-1	2309	7666	1	1	.5	0	100	144.884	1100
db2	pk-xt-1M-1000-120-1	2309	7686	1	1	.75	0	100	147.784	1100
db2	pk-xt-1M-1000-120-1	2309	7706	1	1	1	0	100	149.232	1100
db2	pk-xt-1M-1000-120-1	2309	8126	1	1	.25	.1	0	7357.608	1100
db2	pk-xt-1M-1000-120-1	2309	8166	1	1	.75	.1	0	271.533	1100
db2	pk-xt-1M-1000-120-1	2309	8186	1	1	1	.1	0	27986.41	800
db2	pk-xt-1M-1000-120-1	2309	8526	1	1	.25	1	0	5535.383	200
db2	pk-xt-1M-1000-120-1	2309	8547	1	1	.5	1	0	13823.365	800
db2	pk-xt-1M-1000-120-1	2309	8567	1	1	.75	1	0	333.338	800
db2	pk-xt-1M-1000-120-1	2309	8586	1	1	1	1	0	6841.343	1100
db2	pk-xt-1M-1000-120-2	2069	9266	1	2	.25	0	25	125.24	1100
db2	pk-xt-1M-1000-120-2	2069	9305	1	2	.5	0	25	108.108	600
db2	pk-xt-1M-1000-120-2	2069	9306	1	2	.75	0	25	123.396	1100
db2	pk-xt-1M-1000-120-2	2069	9308	1	2	1	0	25	133.939	1100
db2	pk-xt-1M-1000-120-2	2069	9310	1	2	.25	0	50	109.311	1100
db2	pk-xt-1M-1000-120-2	2069	9312	1	2	.5	0	50	108.366	1100
db2	pk-xt-1M-1000-120-2	2069	9313	1	2	.75	0	50	178.21	800
db2	pk-xt-1M-1000-120-2	2069	9315	1	2	1	0	50	122.786	1100
db2	pk-xt-1M-1000-120-2	2069	9317	1	2	.25	0	75	100.359	1100
db2	pk-xt-1M-1000-120-2	2069	9319	1	2	.5	0	75	106.98	1100
db2	pk-xt-1M-1000-120-2	2069	9321	1	2	.75	0	75	105.898	1100
db2	pk-xt-1M-1000-120-2	2069	9323	1	2	1	0	75	108.587	1100
db2	pk-xt-1M-1000-120-2	2069	9329	1	2	.25	0	100	96.591	1100
db2	pk-xt-1M-1000-120-2	2069	9334	1	2	.5	0	100	104.445	1100
db2	pk-xt-1M-1000-120-2	2069	9337	1	2	.75	0	100	108.278	1100
db2	pk-xt-1M-1000-120-2	2069	9340	1	2	1	0	100	106.93	1100
db2	pk-xt-1M-1000-120-2	2069	9434	1	2	.5	.01	0	126230.702	1100
db2	pk-xt-1M-1000-120-2	2069	9441	1	2	.25	.1	0	7611.519	800
db2	pk-xt-1M-1000-120-2	2069	9443	1	2	.5	.1	0	7973.204	200
db2	pk-xt-1M-1000-120-2	2069	9445	1	2	.75	.1	0	15461.355	200
db2	pk-xt-1M-1000-120-2	2069	9447	1	2	1	.1	0	11166.202	1100
db2	pk-xt-1M-1000-120-2	2069	9448	1	2	.25	1	0	3579.939	800
db2	pk-xt-1M-1000-120-2	2069	9452	1	2	.75	1	0	119.023	1100
db2	pk-xt-1M-1000-120-2	2069	9454	1	2	1	1	0	212.342	1100
db2	pk-xt-1M-1000-120-4	2229	8686	1	4	.25	0	25	51.456	1100
db2	pk-xt-1M-1000-120-4	2229	8766	1	4	.5	0	25	48.489	1100
db2	pk-xt-1M-1000-120-4	2229	8806	1	4	.75	0	25	48.125	1100
db2	pk-xt-1M-1000-120-4	2229	9415	1	4	.25	0	50	48.414	1100
db2	pk-xt-1M-1000-120-4	2229	9417	1	4	.5	0	50	50.54	1100
db2	pk-xt-1M-1000-120-4	2229	9418	1	4	.75	0	50	52.17	1100
db2	pk-xt-1M-1000-120-4	2229	9420	1	4	1	0	50	55.6	1100
db2	pk-xt-1M-1000-120-4	2229	9422	1	4	.25	0	75	49.445	1100
db2	pk-xt-1M-1000-120-4	2229	9424	1	4	.5	0	75	49.433	1100
db2	pk-xt-1M-1000-120-4	2229	9426	1	4	.75	0	75	51.636	1100
db2	pk-xt-1M-1000-120-4	2229	9427	1	4	1	0	75	50.851	1100
db2	pk-xt-1M-1000-120-4	2229	9429	1	4	.25	0	100	48.983	1100
db2	pk-xt-1M-1000-120-4	2229	9431	1	4	.5	0	100	49.431	1100
db2	pk-xt-1M-1000-120-4	2229	9433	1	4	.75	0	100	50.371	1100
db2	pk-xt-1M-1000-120-4	2229	9435	1	4	1	0	100	52.462	1100
db2	pk-xt-1M-1000-120-4	2229	9438	1	4	.25	.01	0	110965.554	1100
db2	pk-xt-1M-1000-120-4	2229	9440	1	4	.5	.01	0	97400.515	1100
db2	pk-xt-1M-1000-120-4	2229	9449	1	4	.5	.1	0	64.536	1100
db2	pk-xt-1M-1000-120-4	2229	9457	1	4	.75	1	0	5132.252	600
db2	pk-xt-1M-1000-120-4	2229	9458	1	4	1	1	0	110.031	400
db2	pk-xt-1M-1000-120-6	3009	9546	1	6	.25	0	25	17104.227	200
db2	pk-xt-1M-1000-120-6	3009	9566	1	6	.5	0	25	125062.003	1100
db2	pk-xt-1M-1000-120-6	3009	9572	1	6	.25	0	50	120338.53	1100
db2	pk-xt-1M-1000-120-6	3009	9574	1	6	.5	0	50	72.287	1100
