DBMS	EXPERIMENTNAME	RUNID	BATCHSETID	PK	NUMPROCESSORS	ACTROWPOOL	PCTREAD	PCTUPDATE	ATP	MAXMPL
db2	pk-xt-1M-1000-120-1	2309	7207	1	1	.25	0	25	1.70903382586908087492415300051287507768E02	1100
db2	pk-xt-1M-1000-120-1	2309	7246	1	1	.5	0	25	1.50377731563693472286897267581833978923E02	1100
db2	pk-xt-1M-1000-120-1	2309	7286	1	1	.75	0	25	1.49741639399229546506983963947304400084E02	1100
db2	pk-xt-1M-1000-120-1	2309	7306	1	1	1	0	25	1.57084992064037004315212777268884743662E02	1100
db2	pk-xt-1M-1000-120-1	2309	7327	1	1	.25	0	50	1.44092947009329088689744819779629537874E02	1100
db2	pk-xt-1M-1000-120-1	2309	7366	1	1	.5	0	50	1.45268511470548002512017189934600480137E02	1100
db2	pk-xt-1M-1000-120-1	2309	7406	1	1	.75	0	50	1.47483886885616357109007817173205355756E02	1100
db2	pk-xt-1M-1000-120-1	2309	7427	1	1	1	0	50	1.47795092433123862476459425110396469288E02	1100
db2	pk-xt-1M-1000-120-1	2309	7467	1	1	.25	0	75	1.43369208631750050136444201588290075257E02	1100
db2	pk-xt-1M-1000-120-1	2309	7506	1	1	.5	0	75	1.45274190959266729329071171791331572602E02	1100
db2	pk-xt-1M-1000-120-1	2309	7546	1	1	.75	0	75	1.47895364268246587725060896734948552515E02	1100
db2	pk-xt-1M-1000-120-1	2309	7587	1	1	1	0	75	1.50522939571286199584901175060490222237E02	1100
db2	pk-xt-1M-1000-120-1	2309	7627	1	1	.25	0	100	1.42520163082049824204776056446916711084E02	1100
db2	pk-xt-1M-1000-120-1	2309	7666	1	1	.5	0	100	1.45087486405263570467067124124680669699E02	1100
db2	pk-xt-1M-1000-120-1	2309	7686	1	1	.75	0	100	1.47461547849341492269946300702658641369E02	1100
db2	pk-xt-1M-1000-120-1	2309	7706	1	1	1	0	100	1.4958960024537081134395897289386226656E02	1100
db2	pk-xt-1M-1000-120-1	2309	7726	1	1	.25	.01	0	3.03480368343727512592947949148476852962E04	1100
db2	pk-xt-1M-1000-120-1	2309	7747	1	1	.5	.01	0	3.38353746383135075552289532907729757039E04	1100
db2	pk-xt-1M-1000-120-1	2309	7766	1	1	.75	.01	0	3.12815486492691512971607867146246269228E04	1100
db2	pk-xt-1M-1000-120-1	2309	7786	1	1	1	.01	0	3.29990810659796054571699079607009266014E04	1100
db2	pk-xt-1M-1000-120-1	2309	8126	1	1	.25	.1	0	6.2497459826659715160306210413838315533E03	600
db2	pk-xt-1M-1000-120-1	2309	8146	1	1	.5	.1	0	4.09473418999987831441122427870867253191E03	200
db2	pk-xt-1M-1000-120-1	2309	8166	1	1	.75	.1	0	2.73793788251177111817471221015025965637E02	800
db2	pk-xt-1M-1000-120-1	2309	8186	1	1	1	.1	0	2.70091539625821149375068266575124440214E04	800
db2	pk-xt-1M-1000-120-1	2309	8526	1	1	.25	1	0	5.27238100823260470050351865409613172168E03	200
db2	pk-xt-1M-1000-120-1	2309	8547	1	1	.5	1	0	1.3729002779749736992909499901639624691E04	800
db2	pk-xt-1M-1000-120-1	2309	8567	1	1	.75	1	0	3.28286037828298386863579100469649041679E02	800
db2	pk-xt-1M-1000-120-1	2309	8586	1	1	1	1	0	6.76528801057280270290934112944037689275E03	1100
db2	pk-xt-1M-1000-120-2	2069	9266	1	2	.25	0	25	1.24951303142015630869457179354451767202E02	1100
db2	pk-xt-1M-1000-120-2	2069	9305	1	2	.5	0	25	1.07663061611664360282110138468010162014E02	1100
db2	pk-xt-1M-1000-120-2	2069	9306	1	2	.75	0	25	1.23547968524018264927207733145025643386E02	1100
db2	pk-xt-1M-1000-120-2	2069	9308	1	2	1	0	25	1.34317613316299652281144544850237789639E02	1100
db2	pk-xt-1M-1000-120-2	2069	9310	1	2	.25	0	50	1.09680833925247468217044201819650438581E02	1100
db2	pk-xt-1M-1000-120-2	2069	9312	1	2	.5	0	50	1.08877531959668784343796260441197569477E02	1100
db2	pk-xt-1M-1000-120-2	2069	9313	1	2	.75	0	50	1.75563438294625182738486542002587706323E02	800
db2	pk-xt-1M-1000-120-2	2069	9315	1	2	1	0	50	1.23016879249528147994310070457433462818E02	1100
db2	pk-xt-1M-1000-120-2	2069	9317	1	2	.25	0	75	1.0013813244434840084640266770096838704E02	1100
db2	pk-xt-1M-1000-120-2	2069	9319	1	2	.5	0	75	1.06724392686467537332984100234496173329E02	1100
db2	pk-xt-1M-1000-120-2	2069	9321	1	2	.75	0	75	1.0656444305115094781785442003679567076E02	1100
db2	pk-xt-1M-1000-120-2	2069	9323	1	2	1	0	75	1.08750874516711929485221541893645544458E02	1100
db2	pk-xt-1M-1000-120-2	2069	9329	1	2	.25	0	100	9.68632626948380929241259562947403659129E01	1100
db2	pk-xt-1M-1000-120-2	2069	9334	1	2	.5	0	100	1.04870597866375081123009459404796957846E02	1100
db2	pk-xt-1M-1000-120-2	2069	9337	1	2	.75	0	100	1.07861860773006283577856322896268866537E02	1100
db2	pk-xt-1M-1000-120-2	2069	9340	1	2	1	0	100	1.08182406873583359666228833388713032933E02	1100
db2	pk-xt-1M-1000-120-2	2069	9341	1	2	.25	.01	0	1.38686253984704452862554499320992066328E05	1100
db2	pk-xt-1M-1000-120-2	2069	9434	1	2	.5	.01	0	1.35004490369355071418265762516231424037E05	1100
db2	pk-xt-1M-1000-120-2	2069	9436	1	2	.75	.01	0	1.28129075249746633849717677718256840886E05	1100
db2	pk-xt-1M-1000-120-2	2069	9439	1	2	1	.01	0	1.35472248410863912164114417798324183762E05	1100
db2	pk-xt-1M-1000-120-2	2069	9441	1	2	.25	.1	0	3.92094362425341026621980905164246724298E03	1100
db2	pk-xt-1M-1000-120-2	2069	9443	1	2	.5	.1	0	7.762529904292522724514076717135050831E03	200
db2	pk-xt-1M-1000-120-2	2069	9445	1	2	.75	.1	0	1.06857914500166459852910020883145183257E04	200
db2	pk-xt-1M-1000-120-2	2069	9447	1	2	1	.1	0	1.04353119144409521427430606826763419831E04	1100
db2	pk-xt-1M-1000-120-2	2069	9448	1	2	.25	1	0	3.55639891261259132662839020983794199725E03	800
db2	pk-xt-1M-1000-120-2	2069	9450	1	2	.5	1	0	6.84652246299029473590053222416029339416E03	200
db2	pk-xt-1M-1000-120-2	2069	9452	1	2	.75	1	0	5.06074817418181388318032775080184586174E01	1100
db2	pk-xt-1M-1000-120-2	2069	9454	1	2	1	1	0	1.99957315466392546356299437210808786245E02	1100
db2	pk-xt-1M-1000-120-4	2229	8686	1	4	.25	0	25	5.14430091991959963057806713314244933052E01	1100
db2	pk-xt-1M-1000-120-4	2229	8766	1	4	.5	0	25	4.84985191453681387430838051729559428993E01	1100
db2	pk-xt-1M-1000-120-4	2229	8806	1	4	.75	0	25	4.80394247782322991007216844844006776317E01	1100
db2	pk-xt-1M-1000-120-4	2229	9413	1	4	1	0	25	4.69685560759371953087761756579262540828E01	1100
db2	pk-xt-1M-1000-120-4	2229	9415	1	4	.25	0	50	4.85029541695580148936321523022064383117E01	1100
db2	pk-xt-1M-1000-120-4	2229	9417	1	4	.5	0	50	5.04367789602074617265368239003620199713E01	1100
db2	pk-xt-1M-1000-120-4	2229	9418	1	4	.75	0	50	5.24952216865470120545871541538813988633E01	1100
db2	pk-xt-1M-1000-120-4	2229	9420	1	4	1	0	50	5.54197815575337321279637133627757875637E01	1100
db2	pk-xt-1M-1000-120-4	2229	9422	1	4	.25	0	75	4.95157377858305681776513337062243504043E01	1100
db2	pk-xt-1M-1000-120-4	2229	9424	1	4	.5	0	75	4.93509443445960057634127501662947778978E01	1100
db2	pk-xt-1M-1000-120-4	2229	9426	1	4	.75	0	75	5.20877177216874624705341261673210960346E01	1100
db2	pk-xt-1M-1000-120-4	2229	9427	1	4	1	0	75	5.08496832999116126187398058982824400974E01	1100
db2	pk-xt-1M-1000-120-4	2229	9429	1	4	.25	0	100	4.91169173734558017778733342346116543321E01	1100
db2	pk-xt-1M-1000-120-4	2229	9431	1	4	.5	0	100	4.95469677287224454815944593357894512348E01	1100
db2	pk-xt-1M-1000-120-4	2229	9433	1	4	.75	0	100	5.1002275047829057245194494953312023284E01	1100
db2	pk-xt-1M-1000-120-4	2229	9435	1	4	1	0	100	5.31401390166545668798832190319055564489E01	1100
db2	pk-xt-1M-1000-120-4	2229	9438	1	4	.25	.01	0	1.05481566244415886420659690349427819595E05	1100
db2	pk-xt-1M-1000-120-4	2229	9440	1	4	.5	.01	0	1.04517157730480501588551185087300025304E05	1100
db2	pk-xt-1M-1000-120-4	2229	9442	1	4	.75	.01	0	1.1444413833338437509570330444369583193E05	1100
db2	pk-xt-1M-1000-120-4	2229	9444	1	4	1	.01	0	2.72615584676965178471845095340469593896E01	1100
db2	pk-xt-1M-1000-120-4	2229	9446	1	4	.25	.1	0	6.08836836277582421351233565496558689547E01	1100
db2	pk-xt-1M-1000-120-4	2229	9449	1	4	.5	.1	0	6.41903551300498464938483696616316246491E01	1100
db2	pk-xt-1M-1000-120-4	2229	9451	1	4	.75	.1	0	2.12869335423574437163225909149297079726E02	600
db2	pk-xt-1M-1000-120-4	2229	9453	1	4	1	.1	0	1.05608357324989621507945152999713010666E02	700
db2	pk-xt-1M-1000-120-4	2229	9455	1	4	.25	1	0	9.19936667385380832740014161491816103844E01	600
db2	pk-xt-1M-1000-120-4	2229	9456	1	4	.5	1	0	3.94262205198609069609841600459152534837E03	800
db2	pk-xt-1M-1000-120-4	2229	9457	1	4	.75	1	0	9.70151359276840219725213605159449612841E02	1100
db2	pk-xt-1M-1000-120-4	2229	9458	1	4	1	1	0	1.00464389360471991165101655551463654847E02	400
db2	pk-xt-1M-1000-120-6	3009	9546	1	6	.25	0	25	1.78270658716394349257145311719760954892E04	200
db2	pk-xt-1M-1000-120-6	3009	9566	1	6	.5	0	25	1.266396843570434348120917948534922731E05	1100
db2	pk-xt-1M-1000-120-6	3009	9568	1	6	.75	0	25	1.2537896213220250716065915262433508165E05	1100
db2	pk-xt-1M-1000-120-6	3009	9570	1	6	1	0	25	1.31580644290707310921341836918531329946E05	1100
db2	pk-xt-1M-1000-120-6	3009	9572	1	6	.25	0	50	1.23209660492279029773207695890509118269E05	1100
db2	pk-xt-1M-1000-120-6	3009	9574	1	6	.5	0	50	1.46173523215963237210474709999523957767E02	1100
db2	pk-xt-1M-1000-120-6	3009	9587	1	6	.75	0	50	6.13300226965609161361800843276979563091E00	1100
db2	pk-xt-1M-1000-120-6	3009	9589	1	6	1	0	50	6.07317695947879679864729943026759523336E00	1100
db2	pk-xt-1M-1000-120-6	3009	9591	1	6	.25	0	75	6.07786061130823056550047106324210249189E00	1100
db2	pk-xt-1M-1000-120-6	3009	9593	1	6	.5	0	75	6.04420702017438185182559658906590661126E00	1100
db2	pk-xt-1M-1000-120-6	3009	9595	1	6	.75	0	75	6.04102517877349830792020217467715711728E00	1100
db2	pk-xt-1M-1000-120-6	3009	9597	1	6	1	0	75	6.09001072460738012558838935512243388818E00	1100
db2	pk-xt-1M-1000-120-6	3009	9607	1	6	.25	0	100	6.0271245732551831216081679724244858463E00	1100
db2	pk-xt-1M-1000-120-6	3009	9609	1	6	.5	0	100	6.04011963363747350747728428261640510291E00	1100
db2	pk-xt-1M-1000-120-6	3009	9611	1	6	.75	0	100	4.01286921429514255543822597676874340021E05	100
db2	pk-xt-1M-1000-120-6	3009	9614	1	6	1	0	100	1.27005400729452549472771919687996533295E05	1100
db2	pk-xt-1M-1000-120-6	3009	9626	1	6	.25	.01	0	1.12303532315154693235448348190875721028E05	1100
db2	pk-xt-1M-1000-120-6	3009	9628	1	6	.5	.01	0	1.0855416150710236320784763360723612969E05	1100
db2	pk-xt-1M-1000-120-6	3009	9630	1	6	.75	.01	0	1.11008872335942203491872366044551475015E05	1100
db2	pk-xt-1M-1000-120-6	3009	9632	1	6	1	.01	0	1.12034050466948559608189091351565114228E05	1100
db2	pk-xt-1M-1000-120-6	3009	9647	1	6	.25	.1	0	1.42787726625960160793719191022048579213E03	800
db2	pk-xt-1M-1000-120-6	3009	9649	1	6	.5	.1	0	4.01282362645381115841703520872064618059E03	600
db2	pk-xt-1M-1000-120-6	3009	9651	1	6	.75	.1	0	7.15703862622408862158752868411485126946E03	100
db2	pk-xt-1M-1000-120-6	3009	9653	1	6	1	.1	0	1.59801216505305880860778759565382826703E04	600
db2	pk-xt-1M-1000-120-6	3009	9666	1	6	.25	1	0	1.43641872373119546665067372949351556637E03	400
db2	pk-xt-1M-1000-120-6	3009	9668	1	6	.5	1	0	6.99333305166519097052950502052267998477E01	1100
db2	pk-xt-1M-1000-120-6	3009	9670	1	6	.75	1	0	7.37788388462146181943774472637912198311E01	800
db2	pk-xt-1M-1000-120-6	3009	9672	1	6	1	1	0	2.79633689136546340254489974520023853595E03	100
db2	pk-xt-1M-1000-120-8	2289	9295	1	8	.25	0	25	6.63805450819154061834378070581874809475E01	1100
db2	pk-xt-1M-1000-120-8	2289	9304	1	8	.5	0	25	5.09181589434066725388610349985862910553E01	1100
db2	pk-xt-1M-1000-120-8	2289	9307	1	8	.75	0	25	5.10690464177864985348684645271069382217E01	1100
db2	pk-xt-1M-1000-120-8	2289	9309	1	8	1	0	25	5.25843012203509150612079253656884391564E01	1100
db2	pk-xt-1M-1000-120-8	2289	9311	1	8	.25	0	50	5.12052361785478627443979228743114378692E01	1100
db2	pk-xt-1M-1000-120-8	2289	9314	1	8	.5	0	50	5.19853296705919673049370343030764833421E01	1100
db2	pk-xt-1M-1000-120-8	2289	9316	1	8	.75	0	50	5.28489340820514302723626285221908615791E01	1100
db2	pk-xt-1M-1000-120-8	2289	9318	1	8	1	0	50	5.23911738691913263627859203153540405851E01	1100
db2	pk-xt-1M-1000-120-8	2289	9320	1	8	.25	0	75	4.95491994135484746760794872439076695286E01	1100
db2	pk-xt-1M-1000-120-8	2289	9322	1	8	.5	0	75	5.09183516153203635723511928753419533515E01	1100
db2	pk-xt-1M-1000-120-8	2289	9328	1	8	.75	0	75	51.57068173186690553409798425012333749	1100
db2	pk-xt-1M-1000-120-8	2289	9336	1	8	1	0	75	5.16819562716396743597713823403402139969E01	1100
db2	pk-xt-1M-1000-120-8	2289	9339	1	8	.25	0	100	4.92717228757658350948472595531055937893E01	1100
db2	pk-xt-1M-1000-120-8	2289	9348	1	8	.5	0	100	5.10111462724211170785823193974559926897E01	1100
db2	pk-xt-1M-1000-120-8	2289	9353	1	8	.75	0	100	5.13158766750416542813336671947683356561E01	1100
db2	pk-xt-1M-1000-120-8	2289	9355	1	8	1	0	100	5.21696311002276462973389473402084247146E01	1100
db2	pk-xt-1M-1000-120-8	2289	9409	1	8	.25	.01	0	2.20989464992920942917354455238828464986E04	1100
db2	pk-xt-1M-1000-120-8	2289	9412	1	8	.5	.01	0	3.31957842406063248957013042940768122026E02	1100
db2	pk-xt-1M-1000-120-8	2289	9414	1	8	.75	.01	0	5.79730001149248184630754795403074963874E00	1100
db2	pk-xt-1M-1000-120-8	2289	9416	1	8	1	.01	0	5.62666087974553917223914690310710888917E00	1100
db2	pk-xt-1M-1000-120-8	2289	9419	1	8	.25	.1	0	5.53576313590082219169610309325332440736E00	1100
db2	pk-xt-1M-1000-120-8	2289	9421	1	8	.5	.1	0	5.68097903106876212756305437942067343882E00	1100
db2	pk-xt-1M-1000-120-8	2289	9423	1	8	.75	.1	0	5.46687476089784179914016499104084794551E00	1100
db2	pk-xt-1M-1000-120-8	2289	9425	1	8	1	.1	0	5.50983258574930386268878996576968769988E00	1100
db2	pk-xt-1M-1000-120-8	2289	9428	1	8	.25	1	0	5.56961279948814003130040887919149575417E00	1100
db2	pk-xt-1M-1000-120-8	2289	9430	1	8	.5	1	0	5.60091060774214841625748841403504344552E00	1100
db2	pk-xt-1M-1000-120-8	2289	9432	1	8	.75	1	0	5.80710464264314742032486399345518436055E00	1100
db2	pk-xt-1M-1000-120-8	2289	9437	1	8	1	1	0	5.71662916444451334815054674568853639686E00	1100
db2	xt-1M-1000-120-1	2389	1602	0	1	.25	0	25	1.5144857757342775769237230305570071631E02	1100
db2	xt-1M-1000-120-1	2389	1623	0	1	.5	0	25	1.66806923757078900093536763629984875707E02	1100
db2	xt-1M-1000-120-1	2389	1661	0	1	.75	0	25	1.67625592992430427664507921001551968217E02	1100
db2	xt-1M-1000-120-1	2389	1683	0	1	1	0	25	1.62140861523418642337705028877196869324E02	1100
db2	xt-1M-1000-120-1	2389	1723	0	1	.25	0	50	1.57714121052090811356637661797375504308E02	1100
db2	xt-1M-1000-120-1	2389	1763	0	1	.5	0	50	1.54677461445783300648121175119696808242E02	1100
db2	xt-1M-1000-120-1	2389	1801	0	1	.75	0	50	1.58682417597889324828810632372063767368E02	1100
db2	xt-1M-1000-120-1	2389	1842	0	1	1	0	50	1.60043201952924320422807112764470150604E02	1100
db2	xt-1M-1000-120-1	2389	1882	0	1	.25	0	75	1.50672865638894329250181505424112041167E02	1100
db2	xt-1M-1000-120-1	2389	1902	0	1	.5	0	75	1.52681428528782453597557167578809567895E02	1100
db2	xt-1M-1000-120-1	2389	1923	0	1	.75	0	75	1.54110672620218985697287919188752135912E02	1100
db2	xt-1M-1000-120-1	2389	1943	0	1	1	0	75	1.56161992159034646865716587305545926782E02	1100
db2	xt-1M-1000-120-1	2389	1983	0	1	.25	0	100	1.48102502825250131225886840606303810334E02	1100
db2	xt-1M-1000-120-1	2389	2022	0	1	.5	0	100	1.5233319192240017833144707121832558392E02	1100
db2	xt-1M-1000-120-1	2389	2043	0	1	.75	0	100	1.52465352075469864164945505508586259958E02	1100
db2	xt-1M-1000-120-1	2389	2083	0	1	1	0	100	1.54711512620507645056633173783645694961E02	1100
db2	xt-1M-1000-120-1	2389	2123	0	1	.25	.01	0	3.93871367825965824665676077265973254086E04	1100
