EXPERIMENTNAME	RUNID	BATCHSETID	MPL	NUMEXECXACTS	PROCTIME	TPS
pk-xt-30K-1000-120-8	2049	9398	100	992884	12015549.2	8.27327494979626867537142428610710684854E00
pk-xt-30K-1000-120-8	2049	9398	200	1004921	24043353.6	8.37357408904183783153210955662397613552E00
pk-xt-30K-1000-120-8	2049	9398	300	1017201.6	36071624	8.47591724423566869784429691728442932894E00
pk-xt-30K-1000-120-8	2049	9398	400	998549.6	48128037	8.32049754575902480722174114013439832649E00
pk-xt-30K-1000-120-8	2049	9398	500	1001691.2	60169195.8	8.34666155602403113047970602694752980977E00
pk-xt-30K-1000-120-8	2049	9398	600	996432.4	72218885.4	8.30285593232891517899779554621291898339E00
pk-xt-30K-1000-120-8	2049	9398	700	1060008.6	84331781.6	8.83259534542666922198798443476014698653E00
pk-xt-30K-1000-120-8	2049	9398	800	1053788.4	96334558.4	8.78077966730226631150317484264217423821E00
pk-xt-30K-1000-120-8	2049	9398	900	862734.8	108077356.6	7.18881951249016516735139625505442186117E00
pk-xt-30K-1000-120-8	2049	9398	1000	272400.4	118434848.6	2.26979526876702968894518002516435993367E00
pk-xt-30K-1000-120-8	2049	9399	100	979050.2	12014095.4	8.15801735617225949493918116806573235189E00
pk-xt-30K-1000-120-8	2049	9399	200	998328	24035217	8.31865128497987565038713214475074251433E00
pk-xt-30K-1000-120-8	2049	9399	300	986756.2	36085713.2	8.22222841396886617504608365375856434059E00
pk-xt-30K-1000-120-8	2049	9399	400	991964.6	48123289.2	8.26562774468502373783528082850217245765E00
pk-xt-30K-1000-120-8	2049	9399	500	989431.8	60168256.2	8.24450925331844580913416270175233936889E00
pk-xt-30K-1000-120-8	2049	9399	600	986563	72208496.2	8.22060477789535959203739657198090175067E00
pk-xt-30K-1000-120-8	2049	9399	700	1026722.6	84245002	8.55523743656831457116430993825565989784E00
pk-xt-30K-1000-120-8	2049	9399	800	1035680.6	96260118.2	8.62988059427885777137095766221429702277E00
pk-xt-30K-1000-120-8	2049	9399	900	733095.6	108021645.6	6.10858293847575818451677898750734672642E00
pk-xt-30K-1000-120-8	2049	9399	1000	565442.8	117786442.8	4.71159143745156693969719442384448092258E00
pk-xt-30K-1000-120-8	2049	9400	100	978527.6	12009959.4	8.15366291155277546770944935691535722494E00
pk-xt-30K-1000-120-8	2049	9400	200	980801.6	24039396.2	8.17259751189474298189332644507586804543E00
pk-xt-30K-1000-120-8	2049	9400	300	981022.8	36073467.2	8.17445440884025955371500606083861250029E00
pk-xt-30K-1000-120-8	2049	9400	400	968436.2	48117199	8.06956195682062477606219429885593820567E00
pk-xt-30K-1000-120-8	2049	9400	500	904426	60165981.8	7.5362052132000112860804052715188328246E00
pk-xt-30K-1000-120-8	2049	9400	600	926608	72210733	7.72103801670025927150050686511417757708E00
pk-xt-30K-1000-120-8	2049	9400	700	996759.4	84288167.6	8.30558122804801277239806610483531551896E00
pk-xt-30K-1000-120-8	2049	9400	800	1015208.8	96284375.2	8.45929789769271150144570081075901375707E00
pk-xt-30K-1000-120-8	2049	9400	900	874298.6	107983223.8	7.2851538608960845255851546941530359717E00
pk-xt-30K-1000-120-8	2049	9400	1000	165537.4	118926563.2	1.37935234080364009295592644723618441801E00
pk-xt-30K-1000-120-8	2049	9401	100	924325.6	12011767.8	7.70221236765861947187857939458640015098E00
pk-xt-30K-1000-120-8	2049	9401	200	959442	24034327	7.99475173517218189396521643434951186843E00
pk-xt-30K-1000-120-8	2049	9401	300	953217	36074910	7.94272035695664670394581559917351541712E00
pk-xt-30K-1000-120-8	2049	9401	400	959280.4	48111390.4	7.99329726509925352223653308962468791165E00
pk-xt-30K-1000-120-8	2049	9401	500	958651.8	60153572.6	7.98803276366333086133771070985159693695E00
pk-xt-30K-1000-120-8	2049	9401	600	958432.2	72167506.4	7.98580205731245719378131579302631067716E00
pk-xt-30K-1000-120-8	2049	9401	700	994266.2	84174443.2	8.2848197360788132237504648761084076695E00
pk-xt-30K-1000-120-8	2049	9401	800	1019794.2	95920159.8	8.4975202045387041643228089198620115657E00
pk-xt-30K-1000-120-8	2049	9401	900	935996	108239198.2	7.79929058116760372987252159441699262449E00
pk-xt-30K-1000-120-8	2049	9401	1000	219458.4	119452550.6	1.82865991961458195110272267483055088753E00
pk-xt-30K-1000-120-8	2049	9402	100	984093.6	12011014	8.20002833073634916799293398105173692412E00
pk-xt-30K-1000-120-8	2049	9402	200	1004172.4	24038316.2	8.3673502897542560695650366982893245896E00
pk-xt-30K-1000-120-8	2049	9402	300	1001170	36069328.8	8.34231862079309396638641457866362250127E00
pk-xt-30K-1000-120-8	2049	9402	400	996080.2	48120880	8.29992135062535246826327812709438390084E00
pk-xt-30K-1000-120-8	2049	9402	500	997174.4	60158994	8.30902500604111289798435143445184191449E00
pk-xt-30K-1000-120-8	2049	9402	600	995752.4	72213216	8.29718989409555492021458458494733530353E00
pk-xt-30K-1000-120-8	2049	9402	700	1033732.4	84288185.2	8.61364708235078451141978651956903950471E00
pk-xt-30K-1000-120-8	2049	9402	800	1041111.8	96269344.6	8.67513644582579930173067468815358592129E00
pk-xt-30K-1000-120-8	2049	9402	900	1050760.2	108235230.4	8.75554695308111602421501496518306198012E00
pk-xt-30K-1000-120-8	2049	9402	1000	432593.4	115544780.4	3.60461457699710859837848197248585546325E00
pk-xt-30K-1000-120-8	2049	9403	100	972417	12010416.6	8.10273224954379181908325070201898159336E00
pk-xt-30K-1000-120-8	2049	9403	200	984343	24037463	8.2021199546722938059483813489360231138E00
pk-xt-30K-1000-120-8	2049	9403	300	991219.6	36079612.2	8.25941990154943793374783213546924184784E00
pk-xt-30K-1000-120-8	2049	9403	400	992042.6	48108784.4	8.26629152542110215460063676314491880963E00
pk-xt-30K-1000-120-8	2049	9403	500	984208.4	60147192.6	8.20098490971660931081317545891626600895E00
pk-xt-30K-1000-120-8	2049	9403	600	980978	72189820.8	8.17408100886866249964916730118004327508E00
pk-xt-30K-1000-120-8	2049	9403	700	975455.8	84230004.2	8.12808052866520177349712445567277878288E00
pk-xt-30K-1000-120-8	2049	9403	800	1030673	96299783	8.58815441917824199448383898142670255227E00
pk-xt-30K-1000-120-8	2049	9403	900	605820.8	107305635.4	5.04806110487006985335151877111317569269E00
pk-xt-30K-1000-120-8	2049	9403	1000	162889	118172467.8	1.35728397846340517972031493313429575902E00
pk-xt-30K-1000-120-8	2049	9404	100	935923.6	12014804.4	7.79866161320013598647910514877246715401E00
pk-xt-30K-1000-120-8	2049	9404	200	973982.8	24038482	8.11579294661370203773317279541017769841E00
pk-xt-30K-1000-120-8	2049	9404	300	974031.2	36086099.8	8.11620977955364229656333387338002474068E00
pk-xt-30K-1000-120-8	2049	9404	400	979134.6	48104160.8	8.15873429643834741363190500693562301855E00
pk-xt-30K-1000-120-8	2049	9404	500	971131.6	60142052.8	8.09202111465028755120852692417715731166E00
pk-xt-30K-1000-120-8	2049	9404	600	972340.4	72189962.2	8.10210741968835289447251637645317959162E00
pk-xt-30K-1000-120-8	2049	9404	700	994496	84219942.4	8.28670705185358008849188824357767204673E00
pk-xt-30K-1000-120-8	2049	9404	800	1024729.8	96253619.4	8.53864648773609662399561822240010744897E00
pk-xt-30K-1000-120-8	2049	9404	900	805691.2	107726329	6.71349078806458962132287555611682461313E00
pk-xt-30K-1000-120-8	2049	9404	1000	295733.6	116914738.4	2.46422882150726606414715847947529788244E00
pk-xt-30K-1000-120-8	2049	9405	100	916384.6	12013908	7.6358509351735944217334614782218137795E00
pk-xt-30K-1000-120-8	2049	9405	200	943772.2	24039138.4	7.86406048307888805995911225289030337622E00
pk-xt-30K-1000-120-8	2049	9405	300	968509.6	36070194.8	8.0701735674229862262625925956787294498E00
pk-xt-30K-1000-120-8	2049	9405	400	964486	48111715.6	8.03667344921346546205239077426985102817E00
pk-xt-30K-1000-120-8	2049	9405	500	960307	60142856.8	8.00185138200789500581367353494360092235E00
pk-xt-30K-1000-120-8	2049	9405	600	962384.4	72182078.8	8.0191482896808119783975778111237783927E00
pk-xt-30K-1000-120-8	2049	9405	700	963207.4	84213391	8.02603291412449900755597695186970997397E00
pk-xt-30K-1000-120-8	2049	9405	800	990362.6	96034126.8	8.25227846617462560168575942366797361826E00
pk-xt-30K-1000-120-8	2049	9405	900	851074.8	107750451	7.09165209789108220172448695161030398311E00
pk-xt-30K-1000-120-8	2049	9405	1000	436445.2	114098288.2	3.63670996825291014990292556515652731833E00
pk-xt-30K-1000-120-8	2049	9406	100	971771.2	12013992	8.09735107615135279266067277166259759522E00
pk-xt-30K-1000-120-8	2049	9406	200	989642.8	24044355.8	8.24628114930644592587206601025881157405E00
pk-xt-30K-1000-120-8	2049	9406	300	995143.2	36082842.8	8.29212761063105365106829210322137158259E00
pk-xt-30K-1000-120-8	2049	9406	400	999132.2	48132207.4	8.32533851063652498520968911183141545358E00
pk-xt-30K-1000-120-8	2049	9406	500	990660.6	60165906.6	8.25476203714184572660874416928691238606E00
pk-xt-30K-1000-120-8	2049	9406	600	992660.4	72213504.2	8.27141178725283515677729541458699619202E00
pk-xt-30K-1000-120-8	2049	9406	700	982099.4	84244082.2	8.18342525491533578563425453186192426709E00
pk-xt-30K-1000-120-8	2049	9406	800	1039337.6	96352114.4	8.66038170418496294673807610465471518095E00
pk-xt-30K-1000-120-8	2049	9406	900	833313.4	107486871.4	6.94365476436054078871895426917754881719E00
pk-xt-30K-1000-120-8	2049	9406	1000	398816.2	119553190.4	3.32317373980740097019034816678343106997E00
pk-xt-30K-1000-120-8	2049	9407	100	965654.8	12010335.4	8.04638574797310246560731932906150269559E00
pk-xt-30K-1000-120-8	2049	9407	200	979535.6	24044469.2	8.16204847888943513511261467698794277191E00
pk-xt-30K-1000-120-8	2049	9407	300	982731.8	36075046.2	8.18870841404435296428133228970023635676E00
pk-xt-30K-1000-120-8	2049	9407	400	981449.6	48117338.2	8.17799701694011382289956753964219946505E00
pk-xt-30K-1000-120-8	2049	9407	500	974422.6	60170501.8	8.11944405096199515044454258359650365383E00
pk-xt-30K-1000-120-8	2049	9407	600	973446.8	72185251	8.11131312962978393647249002174800643274E00
