DBMS	EXPERIMENTNAME	RUNID	BATCHSETID	PK	NUMPROCESSORS	ACTROWPOOL	PCTREAD	PCTUPDATE	ATP	MAXMPL
db2	pk-xt-1M-1000-120-1	1351	7207	1	1	0.25	0	0.25	0.000422467270416254	1
db2	pk-xt-1M-1000-120-1	1351	7246	1	1	0.5	0	0.25	0.000426182504707478	1
db2	pk-xt-1M-1000-120-1	1351	7286	1	1	0.75	0	0.25	0.000514706812316107	1
db2	pk-xt-1M-1000-120-1	1351	7306	1	1	1	0	0.25	0.000520480485559106	1
db2	pk-xt-1M-1000-120-1	1351	7327	1	1	0.25	0	0.5	0.000466135466721347	1
db2	pk-xt-1M-1000-120-1	1351	7366	1	1	0.5	0	0.5	0.000496013806412875	1
db2	pk-xt-1M-1000-120-1	1351	7406	1	1	0.75	0	0.5	0.000547251907558565	1
db2	pk-xt-1M-1000-120-1	1351	7427	1	1	1	0	0.5	0.000586664960112821	1
db2	pk-xt-1M-1000-120-1	1351	7467	1	1	0.25	0	0.75	0.000431117270918264	1
db2	pk-xt-1M-1000-120-1	1351	7506	1	1	0.5	0	0.75	0.000463302168137126	1
db2	pk-xt-1M-1000-120-1	1351	7546	1	1	0.75	0	0.75	0.000500876829103391	1
db2	pk-xt-1M-1000-120-1	1351	7587	1	1	1	0	0.75	0.000567507241644152	1
db2	pk-xt-1M-1000-120-1	1351	7627	1	1	0.25	0	1	0.000455163540593829	1
db2	pk-xt-1M-1000-120-1	1351	7666	1	1	0.5	0	1	0.000370387976461171	1
db2	pk-xt-1M-1000-120-1	1351	7686	1	1	0.75	0	1	0.000443391373309185	1
db2	pk-xt-1M-1000-120-1	1351	7706	1	1	1	0	1	0.000510592082524172	0.0909090909090909
db2	pk-xt-1M-1000-120-1	1351	7726	1	1	0.25	0.01	0	0.000281402439675459	1
db2	pk-xt-1M-1000-120-1	1351	7747	1	1	0.5	0.01	0	0.000434822825953146	1
db2	pk-xt-1M-1000-120-1	1351	7766	1	1	0.75	0.01	0	0.000267116151796781	0.636363636363636
db2	pk-xt-1M-1000-120-1	1351	7786	1	1	1	0.01	0	0.000334573736738258	0.181818181818182
db2	pk-xt-1M-1000-120-1	1351	8126	1	1	0.25	0.1	0	0.000473992534163591	1
db2	pk-xt-1M-1000-120-1	1351	8146	1	1	0.5	0.1	0	0.000305896160619571	1
db2	pk-xt-1M-1000-120-1	1351	8166	1	1	0.75	0.1	0	0.000267729187713083	0.727272727272727
db2	pk-xt-1M-1000-120-1	1351	8186	1	1	1	0.1	0	0.000435091347813186	1
db2	pk-xt-1M-1000-120-1	1351	8526	1	1	0.25	1	0	0.000328830831594609	1
db2	pk-xt-1M-1000-120-1	1351	8547	1	1	0.5	1	0	0.000273976581670163	0.272727272727273
db2	pk-xt-1M-1000-120-1	1351	8567	1	1	0.75	1	0	0.000330972538846428	0.181818181818182
db2	pk-xt-1M-1000-120-1	1351	8586	1	1	1	1	0	0.000316023546173591	0.0909090909090909
db2	pk-xt-1M-1000-120-2	1710	9266	1	2	0.25	0	0.25	0.000202558767807436	1
db2	pk-xt-1M-1000-120-2	1710	9305	1	2	0.5	0	0.25	0.000294772982475736	0.454545454545455
db2	pk-xt-1M-1000-120-2	1710	9306	1	2	0.75	0	0.25	0.000271982669258202	0.636363636363636
db2	pk-xt-1M-1000-120-2	1710	9308	1	2	1	0	0.25	0.00034199016876388	0.272727272727273
db2	pk-xt-1M-1000-120-2	1710	9310	1	2	0.25	0	0.5	0.000278277586110873	0.545454545454545
db2	pk-xt-1M-1000-120-2	1710	9312	1	2	0.5	0	0.5	0.000835672631399792	1
db2	pk-xt-1M-1000-120-2	1710	9313	1	2	0.75	0	0.5	0.0011543925404519	1
db2	pk-xt-1M-1000-120-2	1710	9315	1	2	1	0	0.5	0.000598785931363825	1
db2	pk-xt-1M-1000-120-2	1710	9329	1	2	0.25	0	1	0.000593600221631251	1
db2	pk-xt-1M-1000-120-2	1710	9434	1	2	0.5	0.01	0	6.24501982204362	1
db2	pk-xt-1M-1000-120-2	1710	9436	1	2	0.75	0.01	0	5.74534563594208	1
db2	pk-xt-1M-1000-120-2	1710	9439	1	2	1	0.01	0	37.3435574261726	1
db2	pk-xt-1M-1000-120-2	1710	9441	1	2	0.25	0.1	0	0.0401653722789885	1
db2	pk-xt-1M-1000-120-2	1710	9443	1	2	0.5	0.1	0	0.0312908830841213	0.454545454545455
db2	pk-xt-1M-1000-120-2	1710	9445	1	2	0.75	0.1	0	0.0797092922992058	0.181818181818182
db2	pk-xt-1M-1000-120-2	1710	9447	1	2	1	0.1	0	0.01565592397822	1
db2	pk-xt-1M-1000-120-4	1630	8686	1	4	0.25	0	0.25	9.87173735268704e-05	0.636363636363636
db2	pk-xt-1M-1000-120-4	1630	9413	1	4	1	0	0.25	8.54037114765608e-05	1
db2	pk-xt-1M-1000-120-4	1630	9415	1	4	0.25	0	0.5	0.000313046030714515	1
db2	pk-xt-1M-1000-120-4	1630	9417	1	4	0.5	0	0.5	0.000327600801334215	1
db2	pk-xt-1M-1000-120-4	1630	9418	1	4	0.75	0	0.5	0.000346112703114195	1
db2	pk-xt-1M-1000-120-4	1630	9420	1	4	1	0	0.5	0.000358619294347855	1
db2	pk-xt-1M-1000-120-4	1630	9422	1	4	0.25	0	0.75	0.000308267296379253	1
db2	pk-xt-1M-1000-120-4	1630	9424	1	4	0.5	0	0.75	0.000307980062326296	1
