"RNUM"	"DBMS"	"EXPERIMENTNAME"	"RUNID"	"BATCHSETID"	"PK"	"NUMPROCESSORS"	"ACTROWPOOL"	"PCTREAD"	"PCTUPDATE"	"ATP"	"MAXMPL"
"1"	"db2"	"pk-xt-1M-1000-120-1"	1351	7207	1	0	0	0	0.25	0.000422	1
"2"	"db2"	"pk-xt-1M-1000-120-1"	1351	7246	1	0	0.333333333333333	0	0.25	0.000426	1
"3"	"db2"	"pk-xt-1M-1000-120-1"	1351	7286	1	0	0.666666666666667	0	0.25	0.000514	1
"4"	"db2"	"pk-xt-1M-1000-120-1"	1351	7306	1	0	1	0	0.25	0.00052	1
"5"	"db2"	"pk-xt-1M-1000-120-1"	1351	7327	1	0	0	0	0.5	0.000466	1
"6"	"db2"	"pk-xt-1M-1000-120-1"	1351	7366	1	0	0.333333333333333	0	0.5	0.000496	1
"7"	"db2"	"pk-xt-1M-1000-120-1"	1351	7406	1	0	0.666666666666667	0	0.5	0.000547	1
"8"	"db2"	"pk-xt-1M-1000-120-1"	1351	7427	1	0	1	0	0.5	0.000586	1
"9"	"db2"	"pk-xt-1M-1000-120-1"	1351	7467	1	0	0	0	0.75	0.000431	1
"10"	"db2"	"pk-xt-1M-1000-120-1"	1351	7506	1	0	0.333333333333333	0	0.75	0.000463	1
"11"	"db2"	"pk-xt-1M-1000-120-1"	1351	7546	1	0	0.666666666666667	0	0.75	0.000501	1
"12"	"db2"	"pk-xt-1M-1000-120-1"	1351	7587	1	0	1	0	0.75	0.000567	1
"13"	"db2"	"pk-xt-1M-1000-120-1"	1351	7627	1	0	0	0	1	0.000455	1
"14"	"db2"	"pk-xt-1M-1000-120-1"	1351	7666	1	0	0.333333333333333	0	1	0.00037	1
"15"	"db2"	"pk-xt-1M-1000-120-1"	1351	7686	1	0	0.666666666666667	0	1	0.000443	1
"16"	"db2"	"pk-xt-1M-1000-120-1"	1351	7706	1	0	1	0	1	0.00051	0
"17"	"db2"	"pk-xt-1M-1000-120-1"	1351	7726	1	0	0	0.01	0	0.000281	1
"18"	"db2"	"pk-xt-1M-1000-120-1"	1351	7747	1	0	0.333333333333333	0.01	0	0.000435	1
"19"	"db2"	"pk-xt-1M-1000-120-1"	1351	7766	1	0	0.666666666666667	0.01	0	0.000267	0.6
"20"	"db2"	"pk-xt-1M-1000-120-1"	1351	7786	1	0	1	0.01	0	0.000334	0.1
"21"	"db2"	"pk-xt-1M-1000-120-1"	1351	8126	1	0	0	0.1	0	0.000474	1
"22"	"db2"	"pk-xt-1M-1000-120-1"	1351	8146	1	0	0.333333333333333	0.1	0	0.000306	1
"23"	"db2"	"pk-xt-1M-1000-120-1"	1351	8166	1	0	0.666666666666667	0.1	0	0.000268	0.7
"24"	"db2"	"pk-xt-1M-1000-120-1"	1351	8186	1	0	1	0.1	0	0.000435	1
"25"	"db2"	"pk-xt-1M-1000-120-1"	1351	8526	1	0	0	1	0	0.000329	1
"26"	"db2"	"pk-xt-1M-1000-120-1"	1351	8547	1	0	0.333333333333333	1	0	0.000274	0.2
