"DBMS" "EXPERIMENTNAME" "RUNID" "BATCHSETID" "PK" "NUMPROCESSORS" "ACTROWPOOL" "PCTREAD" "PCTUPDATE" "ATP" "MAXMPL"
"1" "db2" "pk-xt-1M-1000-120-1" 1351 7207 1 0.125 0.25 0 0 0.000451540702514737 1
"2" "db2" "pk-xt-1M-1000-120-1" 1351 7246 1 0.125 0.5 0 0 0.000455252706905483 1
"3" "db2" "pk-xt-1M-1000-120-1" 1351 7286 1 0.125 0.75 0 0 0.00054369117928403 1
"4" "db2" "pk-xt-1M-1000-120-1" 1351 7306 1 0.125 1 0 0 0.00054945873135374 1
"5" "db2" "pk-xt-1M-1000-120-1" 1351 7327 1 0.125 0.25 0 0 0.000495168894436029 1
"6" "db2" "pk-xt-1M-1000-120-1" 1351 7366 1 0.125 0.5 0 0 0.000525017632710241 1
"7" "db2" "pk-xt-1M-1000-120-1" 1351 7406 1 0.125 0.75 0 0 0.000576200762754016 1
"8" "db2" "pk-xt-1M-1000-120-1" 1351 7427 1 0.125 1 0 0 0.000615568021143771 1
"9" "db2" "pk-xt-1M-1000-120-1" 1351 7467 1 0.125 0.25 0 0 0.000460183113385739 1
"10" "db2" "pk-xt-1M-1000-120-1" 1351 7506 1 0.125 0.5 0 0 0.000492338299492906 1
"11" "db2" "pk-xt-1M-1000-120-1" 1351 7546 1 0.125 0.75 0 0 0.000529875626956501 1
"12" "db2" "pk-xt-1M-1000-120-1" 1351 7587 1 0.125 1 0 0 0.000596432998780038 1
"13" "db2" "pk-xt-1M-1000-120-1" 1351 7627 1 0.125 0.25 0 0 0.000484207358219294 1
"14" "db2" "pk-xt-1M-1000-120-1" 1351 7666 1 0.125 0.5 0 0 0.000399504239774799 1
"15" "db2" "pk-xt-1M-1000-120-1" 1351 7686 1 0.125 0.75 0 0 0.000472446135956508 1
"16" "db2" "pk-xt-1M-1000-120-1" 1351 7706 1 0.125 1 0 0 0.000539580800169761 1
"17" "db2" "pk-xt-1M-1000-120-1" 1351 7726 1 0.125 0.25 0.01 0.01 0.000310579223078219 1
"18" "db2" "pk-xt-1M-1000-120-1" 1351 7747 1 0.125 0.5 0.01 0.01 0.000463885305238346 1
"19" "db2" "pk-xt-1M-1000-120-1" 1351 7766 1 0.125 0.75 0.01 0.01 0.000296301192219623 0.6
"20" "db2" "pk-xt-1M-1000-120-1" 1351 7786 1 0.125 1 0.01 0.01 0.000363716265825648 0.1
"21" "db2" "pk-xt-1M-1000-120-1" 1351 8126 1 0.125 0.25 0.1 0.1 0.000503018280327014 1
"22" "db2" "pk-xt-1M-1000-120-1" 1351 8146 1 0.125 0.5 0.1 0.1 0.000335057852889486 1
"23" "db2" "pk-xt-1M-1000-120-1" 1351 8166 1 0.125 0.75 0.1 0.1 0.000296913938670494 0.7
"24" "db2" "pk-xt-1M-1000-120-1" 1351 8186 1 0.125 1 0.1 0.1 0.000464153610113269 1
"25" "db2" "pk-xt-1M-1000-120-1" 1351 8526 1 0.125 0.25 1 1 0.00035797729187796 1
"26" "db2" "pk-xt-1M-1000-120-1" 1351 8547 1 0.125 0.5 1 1 0.000303157721149537 0.2
"27" "db2" "pk-xt-1M-1000-120-1" 1351 8567 1 0.125 0.75 1 1 0.000360117571181866 0.1
"28" "db2" "pk-xt-1M-1000-120-1" 1351 8586 1 0.125 1 1 1 0.000345178662298468 0.1
"29" "db2" "pk-xt-1M-1000-120-2" 1710 9266 1 0.25 0.25 0 0 0.000231776018531745 1
"30" "db2" "pk-xt-1M-1000-120-2" 1710 9305 1 0.25 0.5 0 0 0.000323941679666623 0.4
"31" "db2" "pk-xt-1M-1000-120-2" 1710 9306 1 0.25 0.75 0 0 0.000301164988039528 0.6
"32" "db2" "pk-xt-1M-1000-120-2" 1710 9308 1 0.25 1 0 0 0.00037112745384563 0.2
"33" "db2" "pk-xt-1M-1000-120-2" 1710 9310 1 0.25 0.25 0 0 0.000307456257473208 0.7
"34" "db2" "pk-xt-1M-1000-120-2" 1710 9312 1 0.25 0.5 0 0 0.000864214657709116 1
"35" "db2" "pk-xt-1M-1000-120-2" 1710 9313 1 0.25 0.75 0 0 0.00118229194916324 1
"36" "db2" "pk-xt-1M-1000-120-2" 1710 9315 1 0.25 1 0 0 0.000627674329601799 1
"37" "db2" "pk-xt-1M-1000-120-2" 1710 9329 1 0.25 0.25 0 0 0.000622494885201066 1
"38" "db2" "pk-xt-1M-1000-120-2" 1710 9434 1 0.25 0.5 0.01 0.01 0.861978191823793 1
"39" "db2" "pk-xt-1M-1000-120-2" 1710 9436 1 0.25 0.75 0.01 0.01 0.851753966356392 1
"40" "db2" "pk-xt-1M-1000-120-2" 1710 9439 1 0.25 1 0.01 0.01 0.973920762576316 1
"41" "db2" "pk-xt-1M-1000-120-2" 1710 9441 1 0.25 0.25 0.1 0.1 0.0386425442892893 1
"42" "db2" "pk-xt-1M-1000-120-2" 1710 9443 1 0.25 0.5 0.1 0.1 0.0303698479382658 0.4
"43" "db2" "pk-xt-1M-1000-120-2" 1710 9445 1 0.25 0.75 0.1 0.1 0.0738518757294259 0.1
"44" "db2" "pk-xt-1M-1000-120-2" 1710 9447 1 0.25 1 0.1 0.1 0.0154434073528718 1
"45" "db2" "pk-xt-1M-1000-120-2" 1710 9448 1 0.25 0.25 1 1 0.00196281554071901 1
"46" "db2" "pk-xt-1M-1000-120-2" 1710 9450 1 0.25 0.5 1 1 0.00186182203322963 1
"47" "db2" "pk-xt-1M-1000-120-2" 1710 9454 1 0.25 1 1 1 0.0170543055244445 0.3
"48" "db2" "pk-xt-1M-1000-120-4" 1630 8686 1 0.5 0.25 0 0 0.000127968962698347 0.6
"49" "db2" "pk-xt-1M-1000-120-4" 1630 9413 1 0.5 1 0 0 0.000114658147277807 1
"50" "db2" "pk-xt-1M-1000-120-4" 1630 9415 1 0.5 0.25 0 0 0.000342203099638623 1
"51" "db2" "pk-xt-1M-1000-120-4" 1630 9417 1 0.5 0.5 0 0 0.000356748146133554 1
"52" "db2" "pk-xt-1M-1000-120-4" 1630 9418 1 0.5 0.75 0 0 0.000375247000878743 1
"53" "db2" "pk-xt-1M-1000-120-4" 1630 9420 1 0.5 1 0 0 0.000387744449999332 1
"54" "db2" "pk-xt-1M-1000-120-4" 1630 9422 1 0.5 0.25 0 0 0.000337427473413228 1
"55" "db2" "pk-xt-1M-1000-120-4" 1630 9424 1 0.5 0.5 0 0 0.000337140402954421 1
"56" "db2" "pk-xt-1M-1000-120-4" 1630 9426 1 0.5 0.75 0 0 0.000334190625066325 1
"57" "db2" "pk-xt-1M-1000-120-4" 1630 9427 1 0.5 1 0 0 0.000328622833353305 1
"58" "db2" "pk-xt-1M-1000-120-4" 1630 9429 1 0.5 0.25 0 0 0.000334836390349908 1
"59" "db2" "pk-xt-1M-1000-120-4" 1630 9431 1 0.5 0.5 0 0 0.000327401064918594 1
"60" "db2" "pk-xt-1M-1000-120-4" 1630 9433 1 0.5 0.75 0 0 0.000338936097433648 1
"61" "db2" "pk-xt-1M-1000-120-4" 1630 9435 1 0.5 1 0 0 0.000347622127543525 1
"62" "db2" "pk-xt-1M-1000-120-4" 1630 9438 1 0.5 0.25 0.01 0.01 0.225998722683288 1
"63" "db2" "pk-xt-1M-1000-120-4" 1630 9440 1 0.5 0.5 0.01 0.01 0.708713001446685 1
"64" "db2" "pk-xt-1M-1000-120-4" 1630 9442 1 0.5 0.75 0.01 0.01 0.67763567180066 1
"65" "db2" "pk-xt-1M-1000-120-4" 1630 9444 1 0.5 1 0.01 0.01 1 1
"66" "db2" "pk-xt-1M-1000-120-4" 1630 9446 1 0.5 0.25 0.1 0.1 0.0150229418842742 0.5
"67" "db2" "pk-xt-1M-1000-120-4" 1630 9449 1 0.5 0.5 0.1 0.1 0.00594605846879278 0.4
"68" "db2" "pk-xt-1M-1000-120-4" 1630 9451 1 0.5 0.75 0.1 0.1 0.00854156147173654 0.6
"69" "db2" "pk-xt-1M-1000-120-4" 1630 9453 1 0.5 1 0.1 0.1 0.0833658177587448 0.4
"70" "db2" "pk-xt-1M-1000-120-4" 1630 9455 1 0.5 0.25 1 1 0.00614954930895943 1
"71" "db2" "pk-xt-1M-1000-120-4" 1630 9456 1 0.5 0.5 1 1 0.000886976021721894 0.6
"72" "db2" "pk-xt-1M-1000-120-4" 1630 9457 1 0.5 0.75 1 1 0.00095673049036922 1
"73" "db2" "pk-xt-1M-1000-120-4" 1630 9458 1 0.5 1 1 1 0.00312678425808242 0.4
"74" "db2" "pk-xt-1M-1000-120-8" 1869 9295 1 1 0.25 0 0 0.000336138163201407 1
"75" "db2" "pk-xt-1M-1000-120-8" 1869 9304 1 1 0.5 0 0 0.000347655934244262 1
"76" "db2" "pk-xt-1M-1000-120-8" 1869 9307 1 1 0.75 0 0 0.000355648139120991 1
"77" "db2" "pk-xt-1M-1000-120-8" 1869 9309 1 1 1 0 0 0.000370422526835756 1
"78" "db2" "pk-xt-1M-1000-120-8" 1869 9311 1 1 0.25 0 0 0.000348757660241608 1
"79" "db2" "pk-xt-1M-1000-120-8" 1869 9314 1 1 0.5 0 0 0.000349976062331119 1
"80" "db2" "pk-xt-1M-1000-120-8" 1869 9316 1 1 0.75 0 0 0.000357246508471971 1
"81" "db2" "pk-xt-1M-1000-120-8" 1869 9318 1 1 1 0 0 0.000364143576793023 1
"82" "db2" "pk-xt-1M-1000-120-8" 1869 9320 1 1 0.25 0 0 0.000351256419497193 1
"83" "db2" "pk-xt-1M-1000-120-8" 1869 9322 1 1 0.5 0 0 0.000349394758976909 1
"84" "db2" "pk-xt-1M-1000-120-8" 1869 9328 1 1 0.75 0 0 0.000340771471811621 1
"85" "db2" "pk-xt-1M-1000-120-8" 1869 9336 1 1 1 0 0 0.000340485833840134 1
"86" "db2" "pk-xt-1M-1000-120-8" 1869 9339 1 1 0.25 0 0 0.000340653578105235 1
