EXPERIMENTNAME	DBMS	RUNID	BATCHSETID	PCTREAD	MPL	NUMEXTS	PROCTIME	TPS
pk-xt-1M-1000-120-1	pgsql	1129	7726	.01	100	431539.667	11830897	3595.356
pk-xt-1M-1000-120-1	pgsql	1129	7726	.01	200	439229.667	22639233.667	3658.742
pk-xt-1M-1000-120-1	pgsql	1129	7726	.01	300	438157.333	34145298.333	3650.003
pk-xt-1M-1000-120-1	pgsql	1129	7726	.01	400	411838.333	43647798	3429.316
pk-xt-1M-1000-120-1	pgsql	1129	7726	.01	500	405594.333	55157880	3376.303
pk-xt-1M-1000-120-1	pgsql	1129	7726	.01	600	388129.333	65296228.333	3231.739
pk-xt-1M-1000-120-1	pgsql	1129	7726	.01	700	379044	65850490.333	3152.124
pk-xt-1M-1000-120-1	pgsql	1129	7726	.01	800	358260.333	82190991.333	2979.129
pk-xt-1M-1000-120-1	pgsql	1129	7726	.01	900	354415.333	93384884	2948.731
pk-xt-1M-1000-120-1	pgsql	1129	7726	.01	1000	329065.667	96778703.333	2735.921
pk-xt-1M-1000-120-1	pgsql	1129	7747	.01	100	456420.667	11849175.333	3802.862
pk-xt-1M-1000-120-1	pgsql	1129	7747	.01	200	448309.333	23389510.667	3734.967
pk-xt-1M-1000-120-1	pgsql	1129	7747	.01	300	438937.333	34169689.667	3656.085
pk-xt-1M-1000-120-1	pgsql	1129	7747	.01	400	411099	45014065.667	3423.637
pk-xt-1M-1000-120-1	pgsql	1129	7747	.01	500	393723.333	53754623.333	3278.101
pk-xt-1M-1000-120-1	pgsql	1129	7747	.01	600	385859	65428916.333	3214.238
pk-xt-1M-1000-120-1	pgsql	1129	7747	.01	700	369101.333	74138207	3070.997
pk-xt-1M-1000-120-1	pgsql	1129	7747	.01	800	360401.667	84096291	2998.901
pk-xt-1M-1000-120-1	pgsql	1129	7747	.01	900	344348.667	93461719.333	2865.337
pk-xt-1M-1000-120-1	pgsql	1129	7747	.01	1000	350350.333	100353160.333	2914.66
pk-xt-1M-1000-120-1	pgsql	1129	7766	.01	100	450969.667	11859483	3757.632
pk-xt-1M-1000-120-1	pgsql	1129	7766	.01	200	449751.333	23030265.333	3746.886
pk-xt-1M-1000-120-1	pgsql	1129	7766	.01	300	440814.667	33598449.667	3671.1
pk-xt-1M-1000-120-1	pgsql	1129	7766	.01	400	417516.667	44318345.333	3477.305
pk-xt-1M-1000-120-1	pgsql	1129	7766	.01	500	400625.667	55107298.667	3336.111
pk-xt-1M-1000-120-1	pgsql	1129	7766	.01	600	383188.333	65054175	3189.531
pk-xt-1M-1000-120-1	pgsql	1129	7766	.01	700	379760.667	74481283.667	3161.465
pk-xt-1M-1000-120-1	pgsql	1129	7766	.01	800	359062	82836451	2984.987
pk-xt-1M-1000-120-1	pgsql	1129	7766	.01	900	339605	92946568.333	2824.556
pk-xt-1M-1000-120-1	pgsql	1129	7766	.01	1000	359471.333	97933409.667	2989.774
pk-xt-1M-1000-120-1	pgsql	1129	7786	.01	100	457889	11831573.667	3815.158
pk-xt-1M-1000-120-1	pgsql	1129	7786	.01	200	452728	22840098	3771.519
pk-xt-1M-1000-120-1	pgsql	1129	7786	.01	300	450924.667	34001182.333	3755.317
pk-xt-1M-1000-120-1	pgsql	1129	7786	.01	400	443412	43236058	3692.565
pk-xt-1M-1000-120-1	pgsql	1129	7786	.01	500	412317.667	56285033	3432.38
pk-xt-1M-1000-120-1	pgsql	1129	7786	.01	600	403211.667	64196111.667	3356.866
pk-xt-1M-1000-120-1	pgsql	1129	7786	.01	700	387693.667	72750464.667	3225.141
pk-xt-1M-1000-120-1	pgsql	1129	7786	.01	800	374954	82270519	3119.82
pk-xt-1M-1000-120-1	pgsql	1129	7786	.01	900	366046	90759866.667	3048.083
pk-xt-1M-1000-120-1	pgsql	1129	7786	.01	1000	358422.333	106437761.333	2979.165
pk-xt-1M-1000-120-1	pgsql	1129	8126	.1	100	96972	11875629	807.82
pk-xt-1M-1000-120-1	pgsql	1129	8126	.1	200	95439.667	23468568.667	794.631
pk-xt-1M-1000-120-1	pgsql	1129	8126	.1	300	91152.667	34344992.667	758.735
pk-xt-1M-1000-120-1	pgsql	1129	8126	.1	400	91450.333	45527064.333	761.206
pk-xt-1M-1000-120-1	pgsql	1129	8126	.1	500	89817	56520526.667	746.93
pk-xt-1M-1000-120-1	pgsql	1129	8126	.1	600	88186.333	63024044.333	733.576
pk-xt-1M-1000-120-1	pgsql	1129	8126	.1	700	86907	74926186	722.459
pk-xt-1M-1000-120-1	pgsql	1129	8126	.1	800	81981.667	84787569.667	681.75
pk-xt-1M-1000-120-1	pgsql	1129	8126	.1	900	78675.333	94875173.333	653.622
pk-xt-1M-1000-120-1	pgsql	1129	8126	.1	1000	81885.667	102271265.667	678.419
pk-xt-1M-1000-120-1	pgsql	1129	8146	.1	100	96403	11891614	802.99
pk-xt-1M-1000-120-1	pgsql	1129	8146	.1	200	92709	23479167.333	771.998
pk-xt-1M-1000-120-1	pgsql	1129	8146	.1	300	91430.667	34523679	760.458
pk-xt-1M-1000-120-1	pgsql	1129	8146	.1	400	91624	44987418.333	762.229
pk-xt-1M-1000-120-1	pgsql	1129	8146	.1	500	88895	56558353.333	739.551
pk-xt-1M-1000-120-1	pgsql	1129	8146	.1	600	85185	64459653.667	708.012
pk-xt-1M-1000-120-1	pgsql	1129	8146	.1	700	86114.667	74426802.333	715.548
pk-xt-1M-1000-120-1	pgsql	1129	8146	.1	800	84103	86645268.333	698.758
pk-xt-1M-1000-120-1	pgsql	1129	8146	.1	900	81501.667	93602699.667	677.343
pk-xt-1M-1000-120-1	pgsql	1129	8146	.1	1000	77837.333	104412053	645.814
pk-xt-1M-1000-120-1	pgsql	1129	8166	.1	100	100446	11836707.667	836.7
pk-xt-1M-1000-120-1	pgsql	1129	8166	.1	200	100798.667	22993864.667	839.427
pk-xt-1M-1000-120-1	pgsql	1129	8166	.1	300	96991.333	33760608	807.534
pk-xt-1M-1000-120-1	pgsql	1129	8166	.1	400	94337	43746219.667	785.071
pk-xt-1M-1000-120-1	pgsql	1129	8166	.1	500	92387.667	54814792.333	767.829
pk-xt-1M-1000-120-1	pgsql	1129	8166	.1	600	90751.667	63804309	754.052
pk-xt-1M-1000-120-1	pgsql	1129	8166	.1	700	88801.333	75340023.333	738.27
pk-xt-1M-1000-120-1	pgsql	1129	8166	.1	800	84081.667	82061934.333	698.993
pk-xt-1M-1000-120-1	pgsql	1129	8166	.1	900	81851.667	90842241.667	679.897
pk-xt-1M-1000-120-1	pgsql	1129	8166	.1	1000	82525.667	106660341.667	683.56
pk-xt-1M-1000-120-1	pgsql	1129	8186	.1	100	105660.667	11834707.667	880.144
pk-xt-1M-1000-120-1	pgsql	1129	8186	.1	200	103659.667	22817273.667	863.133
pk-xt-1M-1000-120-1	pgsql	1129	8186	.1	300	101118	33907176.333	842.209
pk-xt-1M-1000-120-1	pgsql	1129	8186	.1	400	100591.333	44593244.667	837.254
pk-xt-1M-1000-120-1	pgsql	1129	8186	.1	500	94467	55500038.667	786.136
pk-xt-1M-1000-120-1	pgsql	1129	8186	.1	600	93691	65362547	778.696
pk-xt-1M-1000-120-1	pgsql	1129	8186	.1	700	93977	75092365.333	780.875
pk-xt-1M-1000-120-1	pgsql	1129	8186	.1	800	90758	84405433.667	752.841
pk-xt-1M-1000-120-1	pgsql	1129	8186	.1	900	87078	92897718	723.968
pk-xt-1M-1000-120-1	pgsql	1129	8186	.1	1000	83371	101585766.333	693.114
pk-xt-1M-1000-120-1	pgsql	1129	8526	1	100	11513.333	11843199	95.841
pk-xt-1M-1000-120-1	pgsql	1129	8526	1	200	11319.667	22991862.667	94.12
pk-xt-1M-1000-120-1	pgsql	1129	8526	1	300	11272.333	34321527.667	93.684
pk-xt-1M-1000-120-1	pgsql	1129	8526	1	400	11208.333	45374403	93.223
pk-xt-1M-1000-120-1	pgsql	1129	8526	1	500	11064.333	55637062	91.893
pk-xt-1M-1000-120-1	pgsql	1129	8526	1	600	10860	65298971.667	89.647
pk-xt-1M-1000-120-1	pgsql	1129	8526	1	700	10513.333	73289603	87.022
pk-xt-1M-1000-120-1	pgsql	1129	8526	1	800	9680.333	82940443.667	80.131
pk-xt-1M-1000-120-1	pgsql	1129	8526	1	900	9372.667	91078853.667	76.678
pk-xt-1M-1000-120-1	pgsql	1129	8526	1	1000	9707.333	100900887	78.734
pk-xt-1M-1000-120-1	pgsql	1129	8547	1	100	10836.333	11875404.333	90.224
pk-xt-1M-1000-120-1	pgsql	1129	8547	1	200	11493.333	23429829.333	95.5
pk-xt-1M-1000-120-1	pgsql	1129	8547	1	300	10737.333	34636259.333	89.075
pk-xt-1M-1000-120-1	pgsql	1129	8547	1	400	10466.333	45654714.333	86.731
pk-xt-1M-1000-120-1	pgsql	1129	8547	1	500	10361.333	55764417	85.82
pk-xt-1M-1000-120-1	pgsql	1129	8547	1	600	10017.667	65995067	82.151
pk-xt-1M-1000-120-1	pgsql	1129	8547	1	700	9559.333	75003927.333	78.288
pk-xt-1M-1000-120-1	pgsql	1129	8547	1	800	9066	81836252	74.462
pk-xt-1M-1000-120-1	pgsql	1129	8547	1	900	8941.333	90848960.333	72.572
pk-xt-1M-1000-120-1	pgsql	1129	8547	1	1000	8933.667	102038434.333	71.74
pk-xt-1M-1000-120-1	pgsql	1129	8567	1	100	11219.333	11864792	93.332
pk-xt-1M-1000-120-1	pgsql	1129	8567	1	200	11589.333	23441893	96.477
pk-xt-1M-1000-120-1	pgsql	1129	8567	1	300	11253	34438744.333	93.463
pk-xt-1M-1000-120-1	pgsql	1129	8567	1	400	10975.667	44873929	90.87
pk-xt-1M-1000-120-1	pgsql	1129	8567	1	500	10567	56127525	86.757
pk-xt-1M-1000-120-1	pgsql	1129	8567	1	600	10092.667	65798893.333	82.616
pk-xt-1M-1000-120-1	pgsql	1129	8567	1	700	9865.333	74497932	82.032
pk-xt-1M-1000-120-1	pgsql	1129	8567	1	800	9265.333	82995368.333	75.585
pk-xt-1M-1000-120-1	pgsql	1129	8567	1	900	9175.333	91437666.333	75.421
pk-xt-1M-1000-120-1	pgsql	1129	8567	1	1000	9239.333	100275825.667	76.382
pk-xt-1M-1000-120-1	pgsql	1129	8586	1	100	12093.333	11852002	100.688
pk-xt-1M-1000-120-1	pgsql	1129	8586	1	200	12086.333	23255036	100.336
pk-xt-1M-1000-120-1	pgsql	1129	8586	1	300	12170.667	34799152.333	101.05
pk-xt-1M-1000-120-1	pgsql	1129	8586	1	400	11635.333	45783642.667	96.246
pk-xt-1M-1000-120-1	pgsql	1129	8586	1	500	11108.667	56322373.667	91.607
pk-xt-1M-1000-120-1	pgsql	1129	8586	1	600	10576.333	66002468.667	86.756
