DBMS	EXPERIMENTNAME	RUNID	BATCHSETID	PK	NUMPROCESSORS	ACTROWPOOL	PCTREAD	PCTUPDATE	ROUND(ATP,3)	MAXMPL
db2	pk-xt-1M-1000-120-1	1351	7207	1	1	.25	0	25	64.715	1100
db2	pk-xt-1M-1000-120-1	1351	7246	1	1	.5	0	25	65.234	1100
db2	pk-xt-1M-1000-120-1	1351	7286	1	1	.75	0	25	77.581	1100
db2	pk-xt-1M-1000-120-1	1351	7306	1	1	1	0	25	78.386	1100
db2	pk-xt-1M-1000-120-1	1351	7327	1	1	.25	0	50	70.807	1100
db2	pk-xt-1M-1000-120-1	1351	7366	1	1	.5	0	50	74.974	1100
db2	pk-xt-1M-1000-120-1	1351	7406	1	1	.75	0	50	82.12	1100
db2	pk-xt-1M-1000-120-1	1351	7427	1	1	1	0	50	87.616	1100
db2	pk-xt-1M-1000-120-1	1351	7467	1	1	.25	0	75	65.922	1100
db2	pk-xt-1M-1000-120-1	1351	7506	1	1	.5	0	75	70.411	1100
db2	pk-xt-1M-1000-120-1	1351	7546	1	1	.75	0	75	75.652	1100
db2	pk-xt-1M-1000-120-1	1351	7587	1	1	1	0	75	84.945	1100
db2	pk-xt-1M-1000-120-1	1351	7627	1	1	.25	0	100	69.276	1100
db2	pk-xt-1M-1000-120-1	1351	7666	1	1	.5	0	100	57.45	1100
db2	pk-xt-1M-1000-120-1	1351	7686	1	1	.75	0	100	67.634	1100
db2	pk-xt-1M-1000-120-1	1351	7706	1	1	1	0	100	77.007	1100
db2	pk-xt-1M-1000-120-1	1351	7726	1	1	.25	.01	0	45.035	1100
db2	pk-xt-1M-1000-120-1	1351	7747	1	1	.5	.01	0	66.439	1100
db2	pk-xt-1M-1000-120-1	1351	7766	1	1	.75	.01	0	43.041	700
db2	pk-xt-1M-1000-120-1	1351	7786	1	1	1	.01	0	52.961	200
db2	pk-xt-1M-1000-120-1	1351	8126	1	1	.25	.1	0	71.903	1100
db2	pk-xt-1M-1000-120-1	1351	8146	1	1	.5	.1	0	48.452	1100
