DBMS	EXPERIMENTNAME	RUNID	BATCHSETID	PK	NUMPROCESSORS	ACTROWPOOL	PCTREAD	PCTUPDATE	ATP	MAXMPL
db2	pk-xt-1M-1000-120-1	1351	7207	1	1	.25	0	25	6.47154020288525668429408365479465909528E01	1100
db2	pk-xt-1M-1000-120-1	1351	7246	1	1	.5	0	25	6.52336578881003178019568149681655096397E01	1100
db2	pk-xt-1M-1000-120-1	1351	7286	1	1	.75	0	25	7.75811998995049584140602725598665335516E01	1100
db2	pk-xt-1M-1000-120-1	1351	7306	1	1	1	0	25	7.83864471336751674291855456945817343174E01	1100
db2	pk-xt-1M-1000-120-1	1351	7327	1	1	.25	0	50	7.08066450186206537414289050911233902533E01	1100
db2	pk-xt-1M-1000-120-1	1351	7366	1	1	.5	0	50	7.49740451870261063195120041445753151068E01	1100
db2	pk-xt-1M-1000-120-1	1351	7406	1	1	.75	0	50	8.21201035776317764442606497259388775176E01	1100
db2	pk-xt-1M-1000-120-1	1351	7427	1	1	1	0	50	8.76164520344154692901144366590344490636E01	1100
db2	pk-xt-1M-1000-120-1	1351	7467	1	1	.25	0	75	6.59220261549960786933476847589836436691E01	1100
db2	pk-xt-1M-1000-120-1	1351	7506	1	1	.5	0	75	7.04114465175534947861464711866269537363E01	1100
db2	pk-xt-1M-1000-120-1	1351	7546	1	1	.75	0	75	7.56523110500913407730892861930730275631E01	1100
db2	pk-xt-1M-1000-120-1	1351	7587	1	1	1	0	75	8.49448659001124093298679033080363136437E01	1100
db2	pk-xt-1M-1000-120-1	1351	7627	1	1	.25	0	100	6.92762295314142816786032691573371378492E01	1100
db2	pk-xt-1M-1000-120-1	1351	7666	1	1	.5	0	100	5.74502062212829458918195400723883673602E01	1100
db2	pk-xt-1M-1000-120-1	1351	7686	1	1	.75	0	100	6.76341553409778439490857772725508991332E01	1100
db2	pk-xt-1M-1000-120-1	1351	7706	1	1	1	0	100	7.70073178330759009125548121880948422873E01	1100
db2	pk-xt-1M-1000-120-1	1351	7726	1	1	.25	.01	0	4.50347437203799413778042595774364893459E01	1100
db2	pk-xt-1M-1000-120-1	1351	7747	1	1	.5	.01	0	6.64389228747714448524078880670535414522E01	1100
db2	pk-xt-1M-1000-120-1	1351	7766	1	1	.75	.01	0	4.30412828686017157884857073690702676853E01	700
db2	pk-xt-1M-1000-120-1	1351	7786	1	1	1	.01	0	5.24535884380965757188537820154967849986E01	200
db2	pk-xt-1M-1000-120-1	1351	8126	1	1	.25	.1	0	7.19025648465940203099325206133622316216E01	1100
db2	pk-xt-1M-1000-120-1	1351	8146	1	1	.5	.1	0	4.84523831581429344325346575835222520761E01	1100
db2	pk-xt-1M-1000-120-1	1351	8166	1	1	.75	.1	0	4.3126825020304321483946555726813823561E01	800
db2	pk-xt-1M-1000-120-1	1351	8186	1	1	1	.1	0	6.64763794814015795423401641587461985013E01	1100
db2	pk-xt-1M-1000-120-1	1351	8526	1	1	.25	1	0	5.16523346830417041873478748589039067258E01	1100
db2	pk-xt-1M-1000-120-1	1351	8547	1	1	.5	1	0	4.39985714255244961090470550224865634776E01	300
db2	pk-xt-1M-1000-120-1	1351	8567	1	1	.75	1	0	5.1951148108062390224035671754343581746E01	200
db2	pk-xt-1M-1000-120-1	1351	8586	1	1	1	1	0	4.98654209906237320936411083101517015212E01	200
db2	pk-xt-1M-1000-120-1	2309	7207	1	1	.25	0	25	1.70903382586908087492415300051287507768E02	1100
db2	pk-xt-1M-1000-120-1	2309	7246	1	1	.5	0	25	1.50377731563693472286897267581833978923E02	1100
db2	pk-xt-1M-1000-120-1	2309	7286	1	1	.75	0	25	1.49741639399229546506983963947304400084E02	1100
db2	pk-xt-1M-1000-120-1	2309	7306	1	1	1	0	25	1.57084992064037004315212777268884743662E02	1100
db2	pk-xt-1M-1000-120-1	2309	7327	1	1	.25	0	50	1.44092947009329088689744819779629537874E02	1100
db2	pk-xt-1M-1000-120-1	2309	7366	1	1	.5	0	50	1.45268511470548002512017189934600480137E02	1100
db2	pk-xt-1M-1000-120-1	2309	7406	1	1	.75	0	50	1.47483886885616357109007817173205355756E02	1100
db2	pk-xt-1M-1000-120-1	2309	7427	1	1	1	0	50	1.47795092433123862476459425110396469288E02	1100
db2	pk-xt-1M-1000-120-1	2309	7467	1	1	.25	0	75	1.43369208631750050136444201588290075257E02	1100
