VER	EXPNAME	PK	DBMS	RUNID	NCORES	RPCT	UPCT	HSR	PT	MAXMPL
700	pk-xt-1M-1000-120-1	1	pgsql	1129	1	0	25	25	86.03	1100
700	pk-xt-1M-1000-120-1	1	pgsql	1129	1	0	25	50	76.99	1100
700	pk-xt-1M-1000-120-1	1	pgsql	1129	1	0	25	75	73.9	800
700	pk-xt-1M-1000-120-1	1	pgsql	1129	1	0	25	100	84.37	1100
700	pk-xt-1M-1000-120-1	1	pgsql	1129	1	0	50	25	70.63	1100
700	pk-xt-1M-1000-120-1	1	pgsql	1129	1	0	50	50	63.8	1100
700	pk-xt-1M-1000-120-1	1	pgsql	1129	1	0	50	75	58.82	1100
700	pk-xt-1M-1000-120-1	1	pgsql	1129	1	0	50	100	64.92	1100
700	pk-xt-1M-1000-120-1	1	pgsql	1129	1	0	75	25	70.58	1100
700	pk-xt-1M-1000-120-1	1	pgsql	1129	1	0	75	50	73.11	1100
700	pk-xt-1M-1000-120-1	1	pgsql	1129	1	0	75	75	64.31	1100
700	pk-xt-1M-1000-120-1	1	pgsql	1129	1	0	75	100	64.57	1100
700	pk-xt-1M-1000-120-1	1	pgsql	1129	1	0	100	25	63.21	1100
700	pk-xt-1M-1000-120-1	1	pgsql	1129	1	0	100	50	79.89	1100
700	pk-xt-1M-1000-120-1	1	pgsql	1129	1	0	100	75	81.22	1100
700	pk-xt-1M-1000-120-1	1	pgsql	1129	1	0	100	100	76.46	1100
700	pk-xt-1M-1000-120-1	1	pgsql	1129	1	.01	0	25	145.08	1100
700	pk-xt-1M-1000-120-1	1	pgsql	1129	1	.01	0	50	147.95	1100
700	pk-xt-1M-1000-120-1	1	pgsql	1129	1	.01	0	75	145.99	1100
700	pk-xt-1M-1000-120-1	1	pgsql	1129	1	.01	0	100	142.32	1100
700	pk-xt-1M-1000-120-1	1	pgsql	1129	1	.01	25	25	308.43	1100
700	pk-xt-1M-1000-120-1	1	pgsql	1129	1	.01	25	50	307.38	1100
700	pk-xt-1M-1000-120-1	1	pgsql	1129	1	.01	25	75	311.03	1100
700	pk-xt-1M-1000-120-1	1	pgsql	1129	1	.01	25	100	312.63	1100
700	pk-xt-1M-1000-120-1	1	pgsql	1129	1	.01	50	25	317.81	1100
700	pk-xt-1M-1000-120-1	1	pgsql	1129	1	.01	50	50	304.33	1100
700	pk-xt-1M-1000-120-1	1	pgsql	1129	1	.01	50	75	304.99	1100
700	pk-xt-1M-1000-120-1	1	pgsql	1129	1	.01	50	100	304.42	1100
700	pk-xt-1M-1000-120-1	1	pgsql	1129	1	.01	75	25	317.49	1100
700	pk-xt-1M-1000-120-1	1	pgsql	1129	1	.01	75	50	305	1100
700	pk-xt-1M-1000-120-1	1	pgsql	1129	1	.01	75	75	308.45	1100
700	pk-xt-1M-1000-120-1	1	pgsql	1129	1	.01	75	100	308.1	1100
700	pk-xt-1M-1000-120-1	1	pgsql	1129	1	.01	100	25	329.39	1100
700	pk-xt-1M-1000-120-1	1	pgsql	1129	1	.01	100	50	315.41	1100
700	pk-xt-1M-1000-120-1	1	pgsql	1129	1	.01	100	75	305.02	1100
700	pk-xt-30K-1000-120-1	1	sqlserver	869	1	0	25	25	33998.59	600
700	pk-xt-30K-1000-120-1	1	sqlserver	869	1	0	25	50	35449.83	600
700	pk-xt-30K-1000-120-1	1	sqlserver	869	1	0	25	75	37336.08	600
700	pk-xt-30K-1000-120-1	1	sqlserver	869	1	0	25	100	36596.86	600
700	pk-xt-30K-1000-120-1	1	sqlserver	869	1	0	50	25	36728.2	600
700	pk-xt-30K-1000-120-1	1	sqlserver	869	1	0	50	50	34579.12	600
