VERSION	EXPERIMENTNAME	DBMS	RUNID	QUERYNUM	CARD	AVGQREADS	AVGQWRITES	AVGUREADS	AVGUWRITES	AVGDREADS	AVGDWRITES
7.1	op-1M-100q-1	oracle	228	0	2000000	83	109	73.13	2.25	1104.5	1
7.1	op-1M-100q-1	oracle	228	20	2000000	81.6	1	1.6	0.1	1027.4	0
7.1	op-1M-100q-1	oracle	228	40	2000000	82	1	26.22	0	1020	0
7.1	op-1M-100q-1	oracle	228	60	2000000	81.5	1	1.7	0.2	1026.2	0
7.1	op-1M-100q-1	oracle	228	80	2000000	82	109	341	3.25	1012.25	0
7.1	op-1M-100q-1	db2	229	20	2000000	0	0	0	0	1573.33	0
7.1	op-1M-100q-1	db2	229	40	2000000	0	0	1.2	0	1591.4	0
7.1	op-1M-100q-1	db2	229	40	1460000	0	0	4.56	1.67	1591.33	0
7.1	op-1M-100q-1	db2	229	40	1450000	0	0	0.67	0	1592	0
7.1	op-1M-100q-1	db2	229	60	2000000	0	0	0	0	1584.8	0
7.1	op-1M-100q-1	db2	229	80	2000000	0	0	0	0	1585.4	0
7.1	op-1M-100q-1	pgsql	230	0	2000000	15934	6355	52.5	119.33	853.33	0
7.1	op-1M-100q-1	pgsql	230	20	2000000	9603	0	6.88	4.38	848	0
7.1	op-1M-100q-1	pgsql	230	40	2000000	23658	14063	21.33	6.56	848	0
7.1	op-1M-100q-1	pgsql	230	60	2000000	9581.29	0	4.14	1	848	0
7.1	op-1M-100q-1	pgsql	230	80	2000000	15971.33	6355	29.56	9.89	848	0
7.1	op-1M-100q-1	pgsql	230	80	20000	64	64	0.33	0.33	847	0
7.1	op-30K-100q-1	mysql	231	0	60000	45	37	0	0.13	1052	0
7.1	op-30K-100q-1	mysql	231	40	60000	27	18	0	0	1327.4	0
7.1	op-30K-100q-1	mysql	231	80	60000	45	37	0	0	1348.29	0.43
7.1	op-1M-100q-2	oracle	246	0	2000000	82.75	1	46.25	0.13	1119.75	0.13
7.1	op-1M-100q-2	oracle	246	20	2000000	81.2	1	5.7	0.5	1029.9	0.4
7.1	op-1M-100q-2	oracle	246	40	2000000	81	109	222.44	2.33	1028	0.33
7.1	op-1M-100q-2	oracle	246	60	2000000	81.67	109	442.5	4.17	1028	0
7.1	op-1M-100q-2	oracle	246	80	2000000	81.1	109	210.5	1.4	1026.2	0
7.1	op-1M-100q-2	db2	247	0	2000000	0	0	0	0	1591.25	0
7.1	op-1M-100q-2	db2	247	20	2000000	0	0	0.9	0	1592	0
7.1	op-1M-100q-2	db2	247	20	1810000	0	0	0.38	0	1591.25	0
7.1	op-1M-100q-2	db2	247	20	1800000	0	0	0.9	0	1592	0
7.1	op-1M-100q-2	db2	247	20	1770000	0	0	0.6	1	1592	0
7.1	op-1M-100q-2	db2	247	20	1760000	0	0	0.33	0	1592	0
7.1	op-1M-100q-2	db2	247	20	1750000	0	0	0	0	1592	0
7.1	op-1M-100q-2	db2	247	20	1640000	0	0	0.9	0	1590.8	0
7.1	op-1M-100q-2	db2	247	20	1630000	0	0	0.67	0	1592	0
7.1	op-1M-100q-2	db2	247	20	1620000	0	0	0	0	1592	0
7.1	op-1M-100q-2	db2	247	40	2000000	0	0	0.33	0	1585.33	0
7.1	op-1M-100q-2	db2	247	60	2000000	0	0	0	0	1585.33	0
7.1	op-1M-100q-2	db2	247	80	2000000	0	0	0	0	1586	0
7.1	op-1M-100q-2	pgsql	248	0	2000000	9619.89	0	40.44	16.33	974.22	0
7.1	op-1M-100q-2	pgsql	248	20	2000000	23724.56	14060	31.44	16.44	852.67	0
7.1	op-1M-100q-2	pgsql	248	20	20000	45	45	0	0	854	0
7.1	op-1M-100q-2	pgsql	248	40	2000000	29912	20317	13.67	2.33	848	0
7.1	op-1M-100q-2	pgsql	248	40	20000	64	64	0.13	0	847.25	0
7.1	op-1M-100q-2	pgsql	248	60	2000000	15982	6355	39.75	28.88	848	0
7.1	op-1M-100q-2	pgsql	248	60	20000	64	64	0	0	848	0
7.1	op-1M-100q-2	pgsql	248	80	2000000	29928	20317	503.2	203	974.4	0.2
7.1	op-30K-100q-2	mysql	412	20	60000	27	18	0	0	931.6	0
7.1	op-30K-100q-2	mysql	412	40	60000	65	37	0	0	941.33	0
7.1	op-30K-100q-2	mysql	412	60	60000	45	37	0	0	916	0
7.1	op-30K-100q-2	mysql	412	80	60000	65	37	0	0	931	0
