2014-01-19 17:20:46,885 INFO  - Run Observer 
2014-01-19 17:21:03,156 INFO  - SELECT distinct exp.UserName, exp.NotebookName, exp.ExperimentName, exp.Scenario, exr.DBMSName, exr.StartTime, exr.CurrentStage, exr.Percentage, exr.MachineName, exe.CurrentStatus, exr.RunID FROM AZDBLAB_EXPERIMENT exp, AZDBLAB_EXPERIMENTRUN exr, AZDBLAB_EXECUTOR exe WHERE exp.ExperimentID = exr.ExperimentID and exp.userName = 'yksuh' and exp.notebookName = 'XACT_TEST' and exp.experimentName = 'tps-30K-100' AND ((exr.MachineName = exe.MachineName AND exr.DBMSName = exe.CurrentDBMSName) OR exr.CurrentStage = 'Pending') 
2014-01-19 17:21:03,216 INFO  - SELECT distinct exp.UserName, exp.NotebookName, exp.ExperimentName, exp.Scenario, exr.DBMSName, exr.StartTime, exr.CurrentStage, exr.Percentage, exr.MachineName, exe.CurrentStatus, exr.RunID FROM AZDBLAB_EXPERIMENT exp, AZDBLAB_EXPERIMENTRUN exr, AZDBLAB_EXECUTOR exe WHERE exp.ExperimentID = exr.ExperimentID and exp.userName = 'yksuh' and exp.notebookName = 'XACT_TEST' and exp.experimentName = 'tps-30K-100' AND ((exr.MachineName = exe.MachineName AND exr.DBMSName = exe.CurrentDBMSName) OR exr.CurrentStage = 'Pending') 
2014-01-19 17:21:03,274 INFO  - SELECT distinct exp.UserName, exp.NotebookName, exp.ExperimentName, exp.Scenario, exr.DBMSName, exr.StartTime, exr.CurrentStage, exr.Percentage, exr.MachineName, exe.CurrentStatus, exr.RunID FROM AZDBLAB_EXPERIMENT exp, AZDBLAB_EXPERIMENTRUN exr, AZDBLAB_EXECUTOR exe WHERE exp.ExperimentID = exr.ExperimentID and exp.userName = 'yksuh' and exp.notebookName = 'XACT_TEST' and exp.experimentName = 'tps-30K-100' AND ((exr.MachineName = exe.MachineName AND exr.DBMSName = exe.CurrentDBMSName) OR exr.CurrentStage = 'Pending') 
2014-01-19 17:21:03,323 INFO  - SELECT distinct exp.UserName, exp.NotebookName, exp.ExperimentName, exp.Scenario, exr.DBMSName, exr.StartTime, exr.CurrentStage, exr.Percentage, exr.MachineName, exe.CurrentStatus, exr.RunID FROM AZDBLAB_EXPERIMENT exp, AZDBLAB_EXPERIMENTRUN exr, AZDBLAB_EXECUTOR exe WHERE exp.ExperimentID = exr.ExperimentID and exp.userName = 'yksuh' and exp.notebookName = 'XACT_TEST' and exp.experimentName = 'tps-30K-100' AND ((exr.MachineName = exe.MachineName AND exr.DBMSName = exe.CurrentDBMSName) OR exr.CurrentStage = 'Pending') 
2014-01-19 17:21:03,369 INFO  - SELECT distinct exp.UserName, exp.NotebookName, exp.ExperimentName, exp.Scenario, exr.DBMSName, exr.StartTime, exr.CurrentStage, exr.Percentage, exr.MachineName, exe.CurrentStatus, exr.RunID FROM AZDBLAB_EXPERIMENT exp, AZDBLAB_EXPERIMENTRUN exr, AZDBLAB_EXECUTOR exe WHERE exp.ExperimentID = exr.ExperimentID and exp.userName = 'yksuh' and exp.notebookName = 'XACT_TEST' and exp.experimentName = 'tps-30K-100' AND ((exr.MachineName = exe.MachineName AND exr.DBMSName = exe.CurrentDBMSName) OR exr.CurrentStage = 'Pending') 
2014-01-19 17:21:03,418 INFO  - SELECT distinct exp.UserName, exp.NotebookName, exp.ExperimentName, exp.Scenario, exr.DBMSName, exr.StartTime, exr.CurrentStage, exr.Percentage, exr.MachineName, exe.CurrentStatus, exr.RunID FROM AZDBLAB_EXPERIMENT exp, AZDBLAB_EXPERIMENTRUN exr, AZDBLAB_EXECUTOR exe WHERE exp.ExperimentID = exr.ExperimentID and exp.userName = 'yksuh' and exp.notebookName = 'XACT_TEST' and exp.experimentName = 'tps-30K-100' AND ((exr.MachineName = exe.MachineName AND exr.DBMSName = exe.CurrentDBMSName) OR exr.CurrentStage = 'Pending') 
2014-01-19 17:21:03,463 INFO  - SELECT distinct exp.UserName, exp.NotebookName, exp.ExperimentName, exp.Scenario, exr.DBMSName, exr.StartTime, exr.CurrentStage, exr.Percentage, exr.MachineName, exe.CurrentStatus, exr.RunID FROM AZDBLAB_EXPERIMENT exp, AZDBLAB_EXPERIMENTRUN exr, AZDBLAB_EXECUTOR exe WHERE exp.ExperimentID = exr.ExperimentID and exp.userName = 'yksuh' and exp.notebookName = 'XACT_TEST' and exp.experimentName = 'tps-30K-100' AND ((exr.MachineName = exe.MachineName AND exr.DBMSName = exe.CurrentDBMSName) OR exr.CurrentStage = 'Pending') 
2014-01-19 17:21:03,515 INFO  - SELECT distinct exp.UserName, exp.NotebookName, exp.ExperimentName, exp.Scenario, exr.DBMSName, exr.StartTime, exr.CurrentStage, exr.Percentage, exr.MachineName, exe.CurrentStatus, exr.RunID FROM AZDBLAB_EXPERIMENT exp, AZDBLAB_EXPERIMENTRUN exr, AZDBLAB_EXECUTOR exe WHERE exp.ExperimentID = exr.ExperimentID and exp.userName = 'yksuh' and exp.notebookName = 'XACT_TEST' and exp.experimentName = 'tps-30K-100' AND ((exr.MachineName = exe.MachineName AND exr.DBMSName = exe.CurrentDBMSName) OR exr.CurrentStage = 'Pending') 
2014-01-19 17:21:03,559 INFO  - SELECT distinct exp.UserName, exp.NotebookName, exp.ExperimentName, exp.Scenario, exr.DBMSName, exr.StartTime, exr.CurrentStage, exr.Percentage, exr.MachineName, exe.CurrentStatus, exr.RunID FROM AZDBLAB_EXPERIMENT exp, AZDBLAB_EXPERIMENTRUN exr, AZDBLAB_EXECUTOR exe WHERE exp.ExperimentID = exr.ExperimentID and exp.userName = 'yksuh' and exp.notebookName = 'XACT_TEST' and exp.experimentName = 'tps-30K-100' AND ((exr.MachineName = exe.MachineName AND exr.DBMSName = exe.CurrentDBMSName) OR exr.CurrentStage = 'Pending') 
2014-01-19 17:21:03,606 INFO  - SELECT distinct exp.UserName, exp.NotebookName, exp.ExperimentName, exp.Scenario, exr.DBMSName, exr.StartTime, exr.CurrentStage, exr.Percentage, exr.MachineName, exe.CurrentStatus, exr.RunID FROM AZDBLAB_EXPERIMENT exp, AZDBLAB_EXPERIMENTRUN exr, AZDBLAB_EXECUTOR exe WHERE exp.ExperimentID = exr.ExperimentID and exp.userName = 'yksuh' and exp.notebookName = 'XACT_TEST' and exp.experimentName = 'tps-30K-100' AND ((exr.MachineName = exe.MachineName AND exr.DBMSName = exe.CurrentDBMSName) OR exr.CurrentStage = 'Pending') 
